Dataset,Model,Fold,Hamming Accuracy,Hamming Loss,Instance Jaccard,Instance-F1,Macro Precision,Macro Recall,Macro-F1,Micro-F1,Subset Accuracy
emotions,BR_Logistic,1,0.8114754098360656,0.1885245901639344,0.5047814207650273,0.5685792349726776,0.7269035249427406,0.5557807468929614,0.6111172188011763,0.6479591836734694,0.29508196721311475
emotions,BR_Logistic,2,0.7969187675070029,0.2030812324929972,0.4481792717086835,0.5142857142857142,0.7445689666084404,0.5056979670863518,0.5903093203093203,0.6070460704607046,0.24369747899159663
emotions,BR_Logistic,3,0.7926829268292683,0.2073170731707317,0.45799457994579945,0.5363143631436316,0.6337012987012988,0.5451540377580409,0.5742504226103112,0.6184538653366584,0.21138211382113822
emotions,BR_Logistic,4,0.7986111111111112,0.2013888888888889,0.46944444444444444,0.5438888888888889,0.7363181553045598,0.5343888595129905,0.6032960188532944,0.6253229974160207,0.24166666666666667
emotions,BR_Logistic,5,0.7935779816513762,0.20642201834862386,0.49006116207951067,0.5642201834862385,0.7499873043276342,0.5282374452594675,0.6069701813350067,0.6456692913385826,0.26605504587155965
emotions,CC_Logistic,1,0.7827868852459017,0.21721311475409835,0.5273224043715846,0.594808743169399,0.6449762280391084,0.60235213281244,0.5907550407550407,0.6327944572748267,0.3114754098360656
emotions,CC_Logistic,2,0.7801120448179272,0.21988795518207283,0.5289915966386555,0.6008403361344539,0.635802893747809,0.617851013676785,0.6039173957071541,0.634032634032634,0.31092436974789917
emotions,CC_Logistic,3,0.7615176151761518,0.23848238482384823,0.475609756097561,0.5588075880758806,0.5551111259156478,0.583139619009725,0.5560457900544787,0.6,0.21951219512195122
emotions,CC_Logistic,4,0.7819444444444444,0.21805555555555556,0.5252777777777778,0.6080555555555556,0.6696673353020103,0.6097012155047087,0.6084556298111286,0.6374133949191686,0.2833333333333333
emotions,CC_Logistic,5,0.7737003058103975,0.22629969418960244,0.531651376146789,0.6162079510703365,0.6656288421165567,0.5995996743616347,0.6067737361901421,0.6509433962264151,0.29357798165137616
emotions,MLC_PA_Logistic,1,0.8114754098360656,0.1885245901639344,0.5047814207650273,0.5685792349726776,0.7269035249427406,0.5557807468929614,0.6111172188011763,0.6479591836734694,0.29508196721311475
emotions,MLC_PA_Logistic,2,0.7969187675070029,0.2030812324929972,0.4481792717086835,0.5142857142857142,0.7445689666084404,0.5056979670863518,0.5903093203093203,0.6070460704607046,0.24369747899159663
emotions,MLC_PA_Logistic,3,0.7926829268292683,0.2073170731707317,0.45799457994579945,0.5363143631436316,0.6337012987012988,0.5451540377580409,0.5742504226103112,0.6184538653366584,0.21138211382113822
emotions,MLC_PA_Logistic,4,0.7986111111111112,0.2013888888888889,0.46944444444444444,0.5438888888888889,0.7363181553045598,0.5343888595129905,0.6032960188532944,0.6253229974160207,0.24166666666666667
emotions,MLC_PA_Logistic,5,0.7935779816513762,0.20642201834862386,0.49006116207951067,0.5642201834862385,0.7499873043276342,0.5282374452594675,0.6069701813350067,0.6456692913385826,0.26605504587155965
emotions,GSI_MLC_PA_Logistic,1,0.8128415300546448,0.1871584699453552,0.5047814207650273,0.5726775956284152,0.764945054945055,0.5545419437673658,0.6159443663680951,0.6478149100257069,0.28688524590163933
emotions,GSI_MLC_PA_Logistic,2,0.7983193277310925,0.20168067226890757,0.45938375350140054,0.5198879551820728,0.7789953102453103,0.5113256727140575,0.5993733517310752,0.6108108108108108,0.2689075630252101
emotions,GSI_MLC_PA_Logistic,3,0.7994579945799458,0.2005420054200542,0.456639566395664,0.5262872628726287,0.688038178038178,0.5272845640062144,0.5751188053074846,0.6185567010309279,0.24390243902439024
emotions,GSI_MLC_PA_Logistic,4,0.7958333333333334,0.20416666666666666,0.4527777777777778,0.5330555555555556,0.7409053043844933,0.519814544938676,0.5880736987611576,0.6161879895561357,0.20833333333333334
emotions,GSI_MLC_PA_Logistic,5,0.7859327217125383,0.21406727828746178,0.4694189602446483,0.5391437308868502,0.7515423864470087,0.5091396174490981,0.5865376050446162,0.6276595744680851,0.25688073394495414
music,BR_Logistic,1,0.803921568627451,0.19607843137254902,0.47366946778711483,0.5473389355742296,0.8128484277853865,0.525142557108451,0.5872624377030783,0.631578947368421,0.24369747899159663
