Dataset,Model,Cost,Fold,Scope,Reviewer Accuracy,AURC,Captured Error Count,Cost-Sensitive Utility,Coverage,Error Capture Lift,Error Capture Rate,Full Error Count,Generalized Loss,Immediate Hamming Accuracy,Immediate Instance-F1,Immediate Macro-F1,Optimistic Gain Hamming Accuracy,Optimistic Gain Macro-F1,Optimistic Hamming Accuracy,Optimistic Macro-F1,Random-Rejection Expected Capture,Rejected Error Rate,Review Load Case,Review Load Position,Reviewed Position Count,Risk at Coverage,Selective Hamming Accuracy,Selective Risk
emotions,MLC_PA_Logistic,0.30,1,Operating Point,,0.09918327797138865,72,,0.6953551912568307,1.7126145447455643,0.5217391304347826,138,0.1815573770491803,0.8114754098360656,0.5685792349726776,0.6111172188011763,0.09836065573770492,0.21517832251531543,0.9098360655737705,0.8262955413164917,0.3046448087431694,0.32286995515695066,0.8852459016393442,0.3046448087431694,223,0.12966601178781922,0.8703339882121808,0.12966601178781922
emotions,MLC_PA_Logistic,0.30,2,Operating Point,,0.08176419246389666,96,,0.6498599439775911,1.8908689655172415,0.6620689655172414,145,0.17366946778711484,0.7969187675070029,0.5142857142857142,0.5903093203093203,0.134453781512605,0.289760425243897,0.9313725490196079,0.8800697455532173,0.35014005602240894,0.384,0.9243697478991597,0.35014005602240894,250,0.1056034482758621,0.8943965517241379,0.1056034482758621
emotions,MLC_PA_Logistic,0.30,3,Operating Point,,0.09321133655128853,91,,0.6788617886178862,1.852072474559444,0.5947712418300654,153,0.18035230352303522,0.7926829268292683,0.5363143631436316,0.5742504226103112,0.12330623306233057,0.25108716297023226,0.9159891598915989,0.8253375855805435,0.32113821138211385,0.38396624472573837,0.9349593495934959,0.32113821138211385,237,0.12375249500997998,0.87624750499002,0.12375249500997998
emotions,MLC_PA_Logistic,0.30,4,Operating Point,,0.08396164582477526,101,,0.6472222222222223,1.974477328265001,0.696551724137931,145,0.16694444444444442,0.7986111111111112,0.5438888888888889,0.6032960188532944,0.14027777777777772,0.28882189310586326,0.9388888888888889,0.8921179119591577,0.3527777777777778,0.39763779527559057,0.975,0.3527777777777778,254,0.09442060085836912,0.9055793991416309,0.09442060085836912
emotions,MLC_PA_Logistic,0.30,5,Operating Point,,0.08933963791229649,77,,0.7033639143730887,1.9227949599083622,0.5703703703703704,135,0.1776758409785933,0.7935779816513762,0.5642201834862385,0.6069701813350067,0.11773700305810397,0.24130696869981205,0.9113149847094801,0.8482771500348187,0.2966360856269113,0.39690721649484534,0.8990825688073395,0.2966360856269113,194,0.12608695652173907,0.8739130434782609,0.12608695652173907
emotions,MLC_PA_Logistic,0.35,1,Operating Point,,0.09918327797138865,55,,0.7800546448087432,1.812044288414799,0.39855072463768115,138,0.19036885245901636,0.8114754098360656,0.5685792349726776,0.6111172188011763,0.07513661202185795,0.16304329762455272,0.8866120218579235,0.774160516425729,0.21994535519125682,0.3416149068322981,0.7622950819672131,0.21994535519125682,161,0.14535901926444827,0.8546409807355517,0.14535901926444827
emotions,MLC_PA_Logistic,0.35,2,Operating Point,,0.08176419246389666,74,,0.7521008403361344,2.058679135008767,0.5103448275862069,145,0.18620448179271706,0.7969187675070029,0.5142857142857142,0.5903093203093203,0.10364145658263302,0.22851621706869296,0.9005602240896359,0.8188255373780132,0.24789915966386555,0.4180790960451977,0.865546218487395,0.24789915966386555,177,0.13221601489757917,0.8677839851024208,0.13221601489757917
emotions,MLC_PA_Logistic,0.35,3,Operating Point,,0.09321133655128853,68,,0.7750677506775068,1.9759036144578312,0.4444444444444444,153,0.1939024390243902,0.7926829268292683,0.5363143631436316,0.5742504226103112,0.09214092140921404,0.17593910067960872,0.8848238482384824,0.75018952328992,0.22493224932249323,0.40963855421686746,0.8292682926829268,0.22493224932249323,166,0.14860139860139854,0.8513986013986015,0.14860139860139854
emotions,MLC_PA_Logistic,0.35,4,Operating Point,,0.08396164582477526,78,,0.7444444444444445,2.1049475262368817,0.5379310344827586,145,0.18249999999999997,0.7986111111111112,0.5438888888888889,0.6032960188532944,0.10833333333333328,0.22072043413828535,0.9069444444444444,0.8240164529915798,0.25555555555555554,0.42391304347826086,0.8833333333333333,0.25555555555555554,184,0.125,0.875,0.125
emotions,MLC_PA_Logistic,0.35,5,Operating Point,,0.08933963791229649,57,,0.7798165137614679,1.9175925925925925,0.4222222222222222,135,0.19633027522935775,0.7935779816513762,0.5642201834862385,0.6069701813350067,0.08715596330275233,0.18118032150420804,0.8807339449541285,0.7881505028392147,0.22018348623853212,0.3958333333333333,0.7981651376146789,0.22018348623853212,144,0.15294117647058825,0.8470588235294118,0.15294117647058825
