Dataset,Model,Scope,Abstention_Cost,Macro-F1_Mean,Macro-F1_Std,Micro-F1_Mean,Micro-F1_Std,Hamming Loss_Mean,Hamming Loss_Std,Subset Accuracy_Mean,Subset Accuracy_Std,Example-F1_Mean,Example-F1_Std,train_time_Mean,train_time_Std,Abstentions-as-Zero Macro-F1_Mean,Abstentions-as-Zero Macro-F1_Std,Abstentions-as-Zero Micro-F1_Mean,Abstentions-as-Zero Micro-F1_Std,Generalized Loss_Mean,Generalized Loss_Std,Generalized Hamming Loss_Mean,Generalized Hamming Loss_Std,Selective Hamming Loss_Mean,Selective Hamming Loss_Std,Selective Macro-F1_Mean,Selective Macro-F1_Std,Selective Micro-F1_Mean,Selective Micro-F1_Std,Coverage_Mean,Coverage_Std,ABS_Mean,ABS_Std,AABS_Mean,AABS_Std,Abstention Rate_Mean,Abstention Rate_Std,Independent Label Count_Mean,Independent Label Count_Std,Dependent Label Count_Mean,Dependent Label Count_Std,Validation Full Macro-F1_Mean,Validation Full Macro-F1_Std
emotions,BR_MLP,full,,0.6520862315783421,0.0343321487492803,0.6577471363019048,0.030655050845139295,0.2646554533858511,0.01949629327358993,0.1596694979654683,0.039826390212489175,0.6370244812704614,0.03472711580350984,0.38777937889099123,0.7333640449910923,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emotions,CC_MLP,full,,0.6225769366919791,0.03191128670803595,0.6304888246471503,0.029372365802057678,0.272598845179118,0.012664983686791396,0.21034443591566018,0.03311907994578483,0.6033952336199346,0.030606261965607208,0.2113178253173828,0.011531293675966087,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emotions,MLC_PA,full,,0.5971886323818217,0.015003922746981825,0.6288902816450872,0.01763499401236179,0.2013467606130352,0.007563416814493299,0.2515766545128152,0.0311377039010091,0.54545767695543,0.022047622528316272,0.09857182502746582,0.021328235331230367,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emotions,MLC_PA,rejection,0.2,,,,,,,,,,,,,0.23467505294181823,0.027926493505228717,0.24570800235832002,0.03009329090229963,0.14383451002024944,0.008262002333973577,0.14383451002024944,0.008262002333973577,0.0851850207915851,0.01820986607991452,0.5625408793468146,0.07510738477798473,0.6853411306042885,0.04408081687910675,0.4901114459346509,0.01808084776802377,0.9827684848759851,0.013016011277379804,0.509888554065349,0.018080847768023784,0.509888554065349,0.018080847768023784,,,,,,
emotions,MLC_PA,rejection,0.25,,,,,,,,,,,,,0.33186929419742045,0.034497142832717834,0.3488784544603089,0.035035651020726866,0.16086706322619188,0.008518343091903722,0.16086706322619188,0.008518343091903722,0.09820108309523065,0.01754435186413283,0.6218371554805286,0.028816114343714443,0.7061875818095589,0.024497776364203524,0.5883084470149784,0.01504901851354013,0.9591344604193118,0.027434230233663655,0.4116915529850216,0.015049018513540085,0.4116915529850216,0.015049018513540085,,,,,,
emotions,MLC_PA,rejection,0.3,,,,,,,,,,,,,0.3962398573369899,0.0379625540925807,0.42160471063690064,0.03581023878030737,0.17603988675647364,0.005917388373625059,0.17603988675647364,0.005917388373625059,0.11590590249075391,0.01518487925780363,0.6171977123515855,0.025216821035002095,0.6945638209762557,0.01583279294651396,0.6749326120895238,0.0256776338007631,0.923731513587868,0.034798139854172676,0.32506738791047624,0.025677633800763117,0.32506738791047624,0.025677633800763117,,,,,,
emotions,MLC_PA,rejection,0.35,,,,,,,,,,,,,0.4553208021015413,0.034988795459522735,0.48593839501879554,0.03157156428185504,0.18966594826318778,0.0058528803114039196,0.18966594826318778,0.0058528803114039196,0.1407278159770736,0.01187479219286902,0.6109738448530571,0.023506682184551143,0.668899625610185,0.005728438945142954,0.7668547286282551,0.016046104066336515,0.8277216128171094,0.049193425975781684,0.23314527137174493,0.016046104066336508,0.23314527137174493,0.016046104066336508,,,,,,
emotions,MLC_PA,rejection,0.4,,,,,,,,,,,,,0.5121786738232803,0.01882990563350041,0.5478522006479507,0.01947114369377929,0.19904461362304035,0.005560382060936975,0.19904461362304035,0.005560382060936975,0.16316284212864687,0.0067002052530590935,0.6061970078583847,0.015143339826582752,0.6541368871427821,0.010234818246418644,0.8485355198672122,0.007557391900668606,0.6489743830579198,0.03482337872938313,0.15146448013278777,0.007557391900668595,0.15146448013278777,0.007557391900668595,,,,,,
emotions,GSI_MLC_PA,full,,0.6466518847831477,0.022985403290010156,0.6648858639815518,0.014896970293615495,0.19559064564068068,0.009956414918872204,0.31220940236451356,0.011592595932140824,0.6172701701012089,0.030141275527022917,3.6734256744384766,0.2510714149061769,,,,,,,,,,,,,,,,,,,,,,,0.4,0.5477225575051662,5.6,0.5477225575051662,0.6491325575574036,0.018892847200875147
emotions,GSI_MLC_PA,rejection,0.2,,,,,,,,,,,,,0.42047375268560494,0.0600089933640766,0.4491552705885722,0.07360906738919597,0.13751702479049155,0.00501074779588746,0.13751702479049155,0.00501074779588746,0.10377549783378723,0.009005597521986266,0.6562950744347682,0.0359750305499364,0.7386365840144757,0.030906883776764232,0.6507747959588297,0.03616860820989862,0.9409308122149851,0.02489822425249073,0.3492252040411702,0.036168608209898596,0.3492252040411702,0.036168608209898596,,,,,,
