Dataset,Model,Scope,Abstention_Cost,Macro-F1_Mean,Macro-F1_Std,Micro-F1_Mean,Micro-F1_Std,Hamming Loss_Mean,Hamming Loss_Std,Subset Accuracy_Mean,Subset Accuracy_Std,Example-F1_Mean,Example-F1_Std,Independent Label Count_Mean,Independent Label Count_Std,Dependent Label Count_Mean,Dependent Label Count_Std,Validation Full Macro-F1_Mean,Validation Full Macro-F1_Std,Selection Time Seconds_Mean,Selection Time Seconds_Std,Inference Time Seconds_Mean,Inference Time Seconds_Std,train_time_Mean,train_time_Std,Abstentions-as-Zero Macro-F1_Mean,Abstentions-as-Zero Macro-F1_Std,Abstentions-as-Zero Micro-F1_Mean,Abstentions-as-Zero Micro-F1_Std,Generalized Loss_Mean,Generalized Loss_Std,Generalized Hamming Loss_Mean,Generalized Hamming Loss_Std,Selective Hamming Loss_Mean,Selective Hamming Loss_Std,Selective Macro-F1_Mean,Selective Macro-F1_Std,Selective Micro-F1_Mean,Selective Micro-F1_Std,Coverage_Mean,Coverage_Std,ABS_Mean,ABS_Std,AABS_Mean,AABS_Std,Abstention Rate_Mean,Abstention Rate_Std
music,GSI_MLC_PA,rejection,0.35,,,,,,,,,,,,,,,,,,,,,,,0.17353967453307304,0.04815520243355255,0.1808707937758418,0.05006925036275182,0.32252384685585084,0.005465308796687627,0.32252384685585084,0.005465308796687627,0.11263225261453794,0.036967342603172186,0.66998038998039,0.0980423220473014,0.8242986425339367,0.0761126865846518,0.11544734944535542,0.01288500882373397,1.0,0.0,0.8845526505546445,0.012885008823734001,0.8845526505546445,0.012885008823734001
music,GSI_MLC_PA,rejection,0.4,,,,,,,,,,,,,,,,,,,,,,,0.3460265285744903,0.03689469880920434,0.3567674532886008,0.04140292591575311,0.32885119975847793,0.006854600837967661,0.32885119975847793,0.006854600837967661,0.1347691022558441,0.01748814869496836,0.7593884512895754,0.06777752563804365,0.8035278153803358,0.031223192056413444,0.26862578726985503,0.023904814762722222,0.9881063768401755,0.012914655485691828,0.731374212730145,0.02390481476272223,0.731374212730145,0.02390481476272223
scene,GSI_MLC_PA,full,,0.6222532869458988,0.009040047819945284,0.6069547327848804,0.007201902124312572,0.1980955636967315,0.0035921803517455263,0.21233836569355416,0.011811592733801933,0.6190931234535524,0.010121557616089755,0.0,0.0,6.0,0.0,0.6850167398166083,0.01354879470424705,1.673820760000126,0.022736653695903154,0.0064497399998799665,0.0009735009799557382,2.263541269302368,0.031401106145615906,,,,,,,,,,,,,,,,,,,,,,
scene,GSI_MLC_PA,rejection,0.2,,,,,,,,,,,,,,,,,,,,,,,0.3653115002754575,0.0069920974929733575,0.36936879821872387,0.007188367447512242,0.1428360386324637,0.0018188528844639798,0.1428360386324637,0.0018188528844639798,0.031087791067877568,0.002057346658779842,0.8819636819647094,0.039406481482237306,0.8904998485795691,0.008208001175809422,0.3384501990508485,0.011006788732694036,0.9750756156538898,0.004859607811778494,0.6615498009491516,0.011006788732694058,0.6615498009491516,0.011006788732694058
scene,GSI_MLC_PA,rejection,0.25,,,,,,,,,,,,,,,,,,,,,,,0.478547747849165,0.015223757441600165,0.48340808600970114,0.014103320500859752,0.15914435111614064,0.0017595604585693794,0.15914435111614064,0.0017595604585693794,0.0501942070270109,0.004006992728187276,0.8325047438914442,0.035509812797248144,0.8477775395445152,0.011154063868527924,0.4548342852146039,0.011215461692284073,0.9580305548685836,0.004601417474543867,0.5451657147853961,0.01121546169228409,0.5451657147853961,0.01121546169228409
scene,GSI_MLC_PA,rejection,0.3,,,,,,,,,,,,,,,,,,,,,,,0.5632750292606076,0.004771899332197581,0.562764438825117,0.004684699096194746,0.1710485479852449,0.003013130202601349,0.1710485479852449,0.003013130202601349,0.07251203012324015,0.0060393716212290465,0.7937262677208488,0.021936472940098144,0.8043720504561577,0.012581556623652823,0.5669139309395383,0.0066348289056912145,0.9269100630219433,0.0068280334768185185,0.4330860690604615,0.006634828905691191,0.4330860690604615,0.006634828905691191
scene,GSI_MLC_PA,rejection,0.35,,,,,,,,,,,,,,,,,,,,,,,0.6229927790407335,0.020431470444185848,0.6150954891637815,0.02039445721193412,0.18056932341746013,0.0052330279279431775,0.18056932341746013,0.0052330279279431775,0.09864937892968713,0.008615771737929732,0.7619284444662777,0.024782202008942898,0.7605127773750259,0.02138436371223424,0.6741565429575581,0.005884986865320644,0.8745329301318548,0.01528263006128841,0.3258434570424419,0.005884986865320614,0.3258434570424419,0.005884986865320614
scene,GSI_MLC_PA,rejection,0.4,,,,,,,,,,,,,,,,,,,,,,,0.6434923881638045,0.013846396901377655,0.6321900284000735,0.01455063498490457,0.1902351849980052,0.004828171353915057,0.1902351849980052,0.004828171353915057,0.1312411118387083,0.007168520382116363,0.716372803031591,0.015421421794635095,0.7086489707643748,0.0151429747223367,0.7805623722469076,0.004427203059961239,0.7503693515164672,0.014289782031974762,0.21943762775309236,0.00442720305996124,0.21943762775309236,0.00442720305996124
yeast,GSI_MLC_PA,full,,0.4529349027080512,0.0051932826022915365,0.5823420998117507,0.015297394579222998,0.3182532544612727,0.021636438007369144,0.06868773132947922,0.012726956956373558,0.5744492433868931,0.015069820250554235,4.0,2.0,10.0,2.0,0.3998883776270342,0.010737604042685723,2.607026159999987,0.1454556878618878,0.009938120000060734,0.0005604580196882465,3.7264240264892576,0.15553361978747676,,,,,,,,,,,,,,,,,,,,,,
yeast,GSI_MLC_PA,rejection,0.2,,,,,,,,,,,,,,,,,,,,,,,0.00015741953389940763,0.000352000778785408,0.0003900536323744515,0.0008721864368599862,0.19998804542737597,2.6731237029305233e-05,0.19998804542737597,2.6731237029305233e-05,0.0,0.0,0.02857142857142857,0.06388765649999399,0.2,0.44721359549995804,5.977286312014345e-05,0.00013365618514643094,1.0,0.0,0.9999402271368798,0.00013365618514640822,0.9999402271368798,0.00013365618514640822
yeast,GSI_MLC_PA,rejection,0.25,,,,,,,,,,,,,,,,,,,,,,,0.011800705544200922,0.010490855262546308,0.025582404842180606,0.023423453967518024,0.24828528561318977,0.0006597434062440248,0.24828528561318977,0.0006597434062440248,0.025619827390829776,0.014483369475713326,0.18469829490237655,0.11890267364691004,0.7506493506493508,0.4272786483622416,0.007569479755563486,0.0025731737033574957,1.0,0.0,0.9924305202444366,0.0025731737033574814,0.9924305202444366,0.0025731737033574814
yeast,GSI_MLC_PA,rejection,0.3,,,,,,,,,,,,,,,,,,,,,,,0.06120233541202562,0.009131254843960924,0.10487309991235734,0.014365922065363058,0.2903818538041035,0.0018980165784905042,0.2903818538041035,0.0018980165784905042,0.0496706191783261,0.02044177341628313,0.3585271954371052,0.060084059166541116,0.9487144843509625,0.013996606950544136,0.03817253915520814,0.004913373692588052,1.0,0.0,0.9618274608447919,0.0049133736925880515,0.9618274608447919,0.0049133736925880515
yeast,GSI_MLC_PA,rejection,0.35,,,,,,,,,,,,,,,,,,,,,,,0.12426421961576695,0.01380210951067882,0.20517268048031884,0.024631736469750597,0.322437441741375,0.0035146668208971992,0.322437441741375,0.0035146668208971992,0.0876381161721807,0.020879081057826016,0.51699243244129,0.08913613545241719,0.8863361551600428,0.013138606456517462,0.10502593581201111,0.009723474677632226,0.9995893223819301,0.0009183030708417915,0.8949740641879889,0.00972347467763223,0.8949740641879889,0.00972347467763223
yeast,GSI_MLC_PA,rejection,0.4,,,,,,,,,,,,,,,,,,,,,,,0.2381738764030438,0.020896677087590656,0.3886828817156882,0.010334355507129692,0.33303120308100914,0.005336061292031405,0.33303120308100914,0.005336061292031405,0.15343242190665177,0.01656867071662588,0.5594856850661095,0.0438724442157233,0.7929149737163482,0.027196303679193252,0.2722951699855476,0.024531558197941013,0.9930184804928132,0.015611152204310655,0.7277048300144524,0.024531558197941002,0.7277048300144524,0.024531558197941002
enron,GSI_MLC_PA,full,,0.20374141444951754,0.020720215259950093,0.4954631511176002,0.02923331259066425,0.07980313854193234,0.008718767853522233,0.02056106931612928,0.01937784124274054,0.4695519301804779,0.03632025252542649,8.0,1.5811388300841898,45.0,1.5811388300841898,0.18889536231439746,0.0076859933591790705,43.731262660000084,1.4142877084867276,0.05834071999988737,0.0031937841219590157,48.03090653419495,1.4020817952102302,,,,,,,,,,,,,,,,,,,,,,
enron,GSI_MLC_PA,rejection,0.2,,,,,,,,,,,,,,,,,,,,,,,0.08506759027114656,0.011225602550377621,0.2800944861743942,0.02236351349686333,0.1060233327152739,0.005936070706453896,0.1060233327152739,0.005936070706453896,0.019715830301722876,0.0010912069939395803,0.18126568662042866,0.01232676806805865,0.6818214283931382,0.023755789387279385,0.521158180137681,0.03031842061226504,1.0,0.0,0.4788418198623191,0.03031842061226503,0.4788418198623191,0.03031842061226503
enron,GSI_MLC_PA,rejection,0.25,,,,,,,,,,,,,,,,,,,,,,,0.10678382265554771,0.009709500058846642,0.34306594318055084,0.023672253742999805,0.11753065377477104,0.007747144328844321,0.11753065377477104,0.007747144328844321,0.02361810700911469,0.0009291849421323568,0.190110615607679,0.008935166182755413,0.6751833334674575,0.017043927227141802,0.5851342649602935,0.03364073845978614,1.0,0.0,0.41486573503970636,0.033640738459786164,0.41486573503970636,0.033640738459786164
enron,GSI_MLC_PA,rejection,0.3,,,,,,,,,,,,,,,,,,,,,,,0.12529852293935934,0.006734869101630338,0.40999087384019683,0.01646324806362109,0.12593637832527488,0.009953040987838991,0.12593637832527488,0.009953040987838991,0.028788268243905412,0.0011653437524040671,0.18956867992443655,0.00544244354028318,0.6678156834982958,0.0104197445906016,0.6417007039493259,0.034236446912718065,1.0,0.0,0.3582992960506742,0.034236446912718044,0.3582992960506742,0.034236446912718044
enron,GSI_MLC_PA,rejection,0.35,,,,,,,,,,,,,,,,,,,,,,,0.14926214356873543,0.009946193816308922,0.4725312609267756,0.023089156537037758,0.12729951538305304,0.01009554903394439,0.12729951538305304,0.01009554903394439,0.03414142849526809,0.0008375872007071895,0.20295838332016786,0.014371405604237813,0.6590076229607359,0.015710468956121673,0.7050241778694265,0.030733458057244673,1.0,0.0,0.29497582213057355,0.0307334580572447,0.29497582213057355,0.0307334580572447
enron,GSI_MLC_PA,rejection,0.4,,,,,,,,,,,,,,,,,,,,,,,0.176287150130582,0.017763477290242167,0.5136280771552266,0.024551587411885737,0.11483426400703067,0.010164168906027525,0.11483426400703067,0.010164168906027525,0.04009822910583136,0.001582864670010657,0.21732925532476868,0.024494135582179576,0.6349386215796631,0.013151138070352808,0.7923372149729528,0.027800940690139626,1.0,0.0,0.20766278502704708,0.027800940690139615,0.20766278502704708,0.027800940690139615
