Dataset,Model,Cost,Fold,Scope,Reviewer Accuracy,AURC,Captured Error Count,Cost-Sensitive Utility,Coverage,Error Capture Lift,Error Capture Rate,Full Error Count,Generalized Loss,Immediate Hamming Accuracy,Immediate Instance-F1,Immediate Macro-F1,Optimistic Gain Hamming Accuracy,Optimistic Gain Macro-F1,Optimistic Hamming Accuracy,Optimistic Macro-F1,Random-Rejection Expected Capture,Rejected Error Rate,Review Load Case,Review Load Position,Reviewed Position Count,Risk at Coverage,Selective Hamming Accuracy,Selective Risk
emotions,MLC_PA_SVM,0.20,1,Operating Point,,0.09869910183307241,99,,0.5,1.434782608695652,0.717391304347826,138,0.15327868852459015,0.8114754098360656,0.5890710382513661,0.597602612390748,0.13524590163934425,0.3064971965184984,0.9467213114754098,0.9040998089092463,0.5,0.27049180327868855,0.9754098360655737,0.5,366,0.10655737704918034,0.8934426229508197,0.10655737704918034
emotions,MLC_PA_SVM,0.20,2,Operating Point,,0.08167872796655715,131,,0.4579831932773109,1.6330400167609471,0.8851351351351351,148,0.1322128851540616,0.7927170868347339,0.5131652661064425,0.5472967449301249,0.1834733893557423,0.411689329195268,0.9761904761904762,0.9589860741253929,0.542016806722689,0.3385012919896641,1.0,0.542016806722689,387,0.051987767584097844,0.9480122324159022,0.051987767584097844
emotions,MLC_PA_SVM,0.20,3,Operating Point,,0.09667829602159318,119,,0.45121951219512196,1.4651651651651652,0.8040540540540541,148,0.14905149051490515,0.7994579945799458,0.5628726287262873,0.5754488038510298,0.1612466124661246,0.3448715974791591,0.9607046070460704,0.9203204013301889,0.5487804878048781,0.2938271604938272,1.0,0.5487804878048781,405,0.08708708708708712,0.9129129129129129,0.08708708708708712
emotions,MLC_PA_SVM,0.20,4,Operating Point,,0.08864818952113279,127,,0.45416666666666666,1.572106457602641,0.8581081081081081,148,0.13833333333333334,0.7944444444444445,0.5433333333333333,0.5779402789841044,0.17638888888888882,0.37113332489252715,0.9708333333333333,0.9490736038766315,0.5458333333333333,0.3231552162849873,1.0,0.5458333333333333,393,0.06422018348623859,0.9357798165137614,0.06422018348623859
emotions,MLC_PA_SVM,0.20,5,Operating Point,,0.0954592700204653,117,,0.4541284403669725,1.509409397561842,0.823943661971831,142,0.14740061162079512,0.7828746177370031,0.5324159021406728,0.5648692244675182,0.17889908256880738,0.37256964389485747,0.9617737003058104,0.9374388683623757,0.5458715596330275,0.3277310924369748,1.0,0.5458715596330275,357,0.08417508417508412,0.9158249158249159,0.08417508417508412
emotions,MLC_PA_SVM,0.25,1,Operating Point,,0.09869910183307241,89,,0.5806010928961749,1.5377425293867724,0.644927536231884,138,0.1717896174863388,0.8114754098360656,0.5890710382513661,0.597602612390748,0.12158469945355188,0.28124451849812515,0.9330601092896175,0.8788471308888731,0.41939890710382516,0.2899022801302932,0.9508196721311475,0.41939890710382516,307,0.11529411764705877,0.8847058823529412,0.11529411764705877
emotions,MLC_PA_SVM,0.25,2,Operating Point,,0.08167872796655715,116,,0.5504201680672269,1.743369537762061,0.7837837837837838,148,0.15721288515406162,0.7927170868347339,0.5131652661064425,0.5472967449301249,0.16246498599439785,0.37552070892537914,0.9551820728291317,0.9228174538555041,0.4495798319327731,0.3613707165109034,0.957983193277311,0.4495798319327731,321,0.08142493638676851,0.9185750636132315,0.08142493638676851
emotions,MLC_PA_SVM,0.25,3,Operating Point,,0.09667829602159318,108,,0.55420054200542,1.6369013390289986,0.7297297297297297,148,0.16565040650406504,0.7994579945799458,0.5628726287262873,0.5754488038510298,0.14634146341463417,0.3127325770410009,0.94579945799458,0.8881813808920307,0.44579945799457993,0.3282674772036474,0.975609756097561,0.44579945799457993,329,0.097799511002445,0.902200488997555,0.097799511002445
emotions,MLC_PA_SVM,0.25,4,Operating Point,,0.08864818952113279,113,,0.5541666666666667,1.7125536751704975,0.7635135135135135,148,0.16006944444444443,0.7944444444444445,0.5433333333333333,0.5779402789841044,0.15694444444444433,0.3341187216077056,0.9513888888888888,0.91205900059181,0.44583333333333336,0.35202492211838005,0.9916666666666667,0.44583333333333336,321,0.08771929824561409,0.9122807017543859,0.08771929824561409
emotions,MLC_PA_SVM,0.25,5,Operating Point,,0.0954592700204653,105,,0.5642201834862385,1.6968124536693847,0.7394366197183099,142,0.16551987767584098,0.7828746177370031,0.5324159021406728,0.5648692244675182,0.16055045871559637,0.3418873666251322,0.9434250764525994,0.9067565910926504,0.43577981651376146,0.3684210526315789,0.9724770642201835,0.43577981651376146,285,0.10027100271002709,0.8997289972899729,0.10027100271002709
emotions,MLC_PA_SVM,0.30,1,Operating Point,,0.09869910183307241,71,,0.6967213114754098,1.6964355660007833,0.5144927536231884,138,0.18251366120218582,0.8114754098360656,0.5890710382513661,0.597602612390748,0.09699453551912562,0.22479095239187397,0.9084699453551912,0.8223935647826219,0.30327868852459017,0.31981981981981983,0.8852459016393442,0.30327868852459017,222,0.13137254901960782,0.8686274509803922,0.13137254901960782
emotions,MLC_PA_SVM,0.30,2,Operating Point,,0.08167872796655715,94,,0.6666666666666666,1.9054054054054053,0.6351351351351351,148,0.17563025210084032,0.7927170868347339,0.5131652661064425,0.5472967449301249,0.13165266106442586,0.31523338561474346,0.9243697478991597,0.8625301305448684,0.3333333333333333,0.3949579831932773,0.9243697478991597,0.3333333333333333,238,0.11344537815126055,0.8865546218487395,0.11344537815126055
emotions,MLC_PA_SVM,0.30,3,Operating Point,,0.09667829602159318,89,,0.6707317073170732,1.826326326326326,0.6013513513513513,148,0.17872628726287262,0.7994579945799458,0.5628726287262873,0.5754488038510298,0.12059620596205956,0.25309055802166536,0.9200542005420054,0.8285393618726952,0.32926829268292684,0.3662551440329218,0.9349593495934959,0.32926829268292684,243,0.11919191919191918,0.8808080808080808,0.11919191919191918
emotions,MLC_PA_SVM,0.30,4,Operating Point,,0.08864818952113279,97,,0.6513888888888889,1.8800473780553462,0.6554054054054054,148,0.1754166666666667,0.7944444444444445,0.5433333333333333,0.5779402789841044,0.1347222222222222,0.2898849591801168,0.9291666666666667,0.8678252381642212,0.3486111111111111,0.38645418326693226,0.9583333333333334,0.3486111111111111,251,0.10874200426439229,0.8912579957356077,0.10874200426439229
emotions,MLC_PA_SVM,0.30,5,Operating Point,,0.0954592700204653,90,,0.6697247706422018,1.9190140845070423,0.6338028169014085,142,0.17859327217125387,0.7828746177370031,0.5324159021406728,0.5648692244675182,0.13761467889908252,0.29756614696263195,0.9204892966360856,0.8624353714301501,0.3302752293577982,0.4166666666666667,0.926605504587156,0.3302752293577982,216,0.1187214611872146,0.8812785388127854,0.1187214611872146
emotions,MLC_PA_SVM,0.35,1,Operating Point,,0.09869910183307241,51,,0.7759562841530054,1.6495227995758217,0.3695652173913043,138,0.19726775956284154,0.8114754098360656,0.5890710382513661,0.597602612390748,0.069672131147541,0.16209273173082572,0.8811475409836066,0.7596953441215737,0.22404371584699453,0.31097560975609756,0.7704918032786885,0.22404371584699453,164,0.153169014084507,0.846830985915493,0.153169014084507
emotions,MLC_PA_SVM,0.35,2,Operating Point,,0.08167872796655715,65,,0.7661064425770309,1.8777310244376113,0.4391891891891892,148,0.1981092436974789,0.7927170868347339,0.5131652661064425,0.5472967449301249,0.09103641456582634,0.2233241959738349,0.8837535014005602,0.7706209409039598,0.2338935574229692,0.38922155688622756,0.8319327731092437,0.2338935574229692,167,0.15173674588665453,0.8482632541133455,0.15173674588665453
