Dataset,Model,Cost,Fold,Group,DL Coverage,DL Full Instance Jaccard,DL Full Macro Precision,DL Full Macro Recall,DL Full Macro-F1,DL Label Count,IL Coverage,IL Full Instance Jaccard,IL Full Macro Precision,IL Full Macro Recall,IL Full Macro-F1,IL Label Count
music,GSI_MLC_PA_SVM,0.25,5,IL,,,,,,,0.5084033613445378,0.5896358543417367,0.7642469742239328,0.647142988590357,0.6997537741030475,4
music,GSI_MLC_PA_SVM,0.30,1,DL,0.3445378151260504,0.6092436974789915,0.7321428571428572,0.2584033613445378,0.34680451127819545,2,,,,,,
music,GSI_MLC_PA_SVM,0.30,1,IL,,,,,,,0.5210084033613446,0.6036414565826331,0.8137374686716792,0.6053374351144423,0.6898767809010395,4
music,GSI_MLC_PA_SVM,0.30,2,DL,0.47863247863247865,0.5470085470085471,0.6959595959595959,0.5266370699223085,0.596938775510204,2,,,,,,
music,GSI_MLC_PA_SVM,0.30,2,IL,,,,,,,0.4658119658119658,0.46011396011396005,0.6008195695695696,0.48592503987240826,0.5274501424501424,4
music,GSI_MLC_PA_SVM,0.30,3,DL,0.3757062146892655,0.6398305084745762,0.7675282234105764,0.44643024673984427,0.5473994292552702,3,,,,,,
music,GSI_MLC_PA_SVM,0.30,3,IL,,,,,,,0.5112994350282486,0.709039548022599,0.771187227327578,0.6702115494568325,0.7093862602634532,3
music,GSI_MLC_PA_SVM,0.30,4,DL,0.3081232492997199,0.4803921568627451,0.6349206349206349,0.4437910098287457,0.5128607379808479,3,,,,,,
music,GSI_MLC_PA_SVM,0.30,4,IL,,,,,,,0.5014005602240896,0.6792717086834733,0.8216346153846154,0.6365513586608921,0.7111111111111111,3
music,GSI_MLC_PA_SVM,0.30,5,DL,0.42436974789915966,0.5756302521008403,0.5021008403361344,0.23290043290043289,0.3179214402618658,2,,,,,,
music,GSI_MLC_PA_SVM,0.30,5,IL,,,,,,,0.5084033613445378,0.5896358543417367,0.7642469742239328,0.647142988590357,0.6997537741030475,4
music,GSI_MLC_PA_SVM,0.35,1,DL,0.3445378151260504,0.6092436974789915,0.7321428571428572,0.2584033613445378,0.34680451127819545,2,,,,,,
music,GSI_MLC_PA_SVM,0.35,1,IL,,,,,,,0.5210084033613446,0.6036414565826331,0.8137374686716792,0.6053374351144423,0.6898767809010395,4
music,GSI_MLC_PA_SVM,0.35,2,DL,0.47863247863247865,0.5470085470085471,0.6959595959595959,0.5266370699223085,0.596938775510204,2,,,,,,
music,GSI_MLC_PA_SVM,0.35,2,IL,,,,,,,0.4658119658119658,0.46011396011396005,0.6008195695695696,0.48592503987240826,0.5274501424501424,4
music,GSI_MLC_PA_SVM,0.35,3,DL,0.3757062146892655,0.6398305084745762,0.7675282234105764,0.44643024673984427,0.5473994292552702,3,,,,,,
music,GSI_MLC_PA_SVM,0.35,3,IL,,,,,,,0.5112994350282486,0.709039548022599,0.771187227327578,0.6702115494568325,0.7093862602634532,3
music,GSI_MLC_PA_SVM,0.35,4,DL,0.3081232492997199,0.4803921568627451,0.6349206349206349,0.4437910098287457,0.5128607379808479,3,,,,,,
music,GSI_MLC_PA_SVM,0.35,4,IL,,,,,,,0.5014005602240896,0.6792717086834733,0.8216346153846154,0.6365513586608921,0.7111111111111111,3
music,GSI_MLC_PA_SVM,0.35,5,DL,0.42436974789915966,0.5756302521008403,0.5021008403361344,0.23290043290043289,0.3179214402618658,2,,,,,,
music,GSI_MLC_PA_SVM,0.35,5,IL,,,,,,,0.5084033613445378,0.5896358543417367,0.7642469742239328,0.647142988590357,0.6997537741030475,4
music,GSI_MLC_PA_SVM,0.40,1,DL,0.3445378151260504,0.6092436974789915,0.7321428571428572,0.2584033613445378,0.34680451127819545,2,,,,,,
music,GSI_MLC_PA_SVM,0.40,1,IL,,,,,,,0.5210084033613446,0.6036414565826331,0.8137374686716792,0.6053374351144423,0.6898767809010395,4
music,GSI_MLC_PA_SVM,0.40,2,DL,0.47863247863247865,0.5470085470085471,0.6959595959595959,0.5266370699223085,0.596938775510204,2,,,,,,
music,GSI_MLC_PA_SVM,0.40,2,IL,,,,,,,0.4658119658119658,0.46011396011396005,0.6008195695695696,0.48592503987240826,0.5274501424501424,4
music,GSI_MLC_PA_SVM,0.40,3,DL,0.655367231638418,0.6398305084745762,0.7675282234105764,0.44643024673984427,0.5473994292552702,3,,,,,,
music,GSI_MLC_PA_SVM,0.40,3,IL,,,,,,,0.5112994350282486,0.709039548022599,0.771187227327578,0.6702115494568325,0.7093862602634532,3
music,GSI_MLC_PA_SVM,0.40,4,DL,0.3081232492997199,0.4803921568627451,0.6349206349206349,0.4437910098287457,0.5128607379808479,3,,,,,,
music,GSI_MLC_PA_SVM,0.40,4,IL,,,,,,,0.5014005602240896,0.6792717086834733,0.8216346153846154,0.6365513586608921,0.7111111111111111,3
music,GSI_MLC_PA_SVM,0.40,5,DL,0.42436974789915966,0.5756302521008403,0.5021008403361344,0.23290043290043289,0.3179214402618658,2,,,,,,
music,GSI_MLC_PA_SVM,0.40,5,IL,,,,,,,0.5084033613445378,0.5896358543417367,0.7642469742239328,0.647142988590357,0.6997537741030475,4
music,GSI_MLC_PA_SVM,0.50,1,DL,0.7563025210084033,0.6092436974789915,0.7321428571428572,0.2584033613445378,0.34680451127819545,2,,,,,,
music,GSI_MLC_PA_SVM,0.50,1,IL,,,,,,,0.5210084033613446,0.6036414565826331,0.8137374686716792,0.6053374351144423,0.6898767809010395,4
music,GSI_MLC_PA_SVM,0.50,2,DL,0.47863247863247865,0.5470085470085471,0.6959595959595959,0.5266370699223085,0.596938775510204,2,,,,,,
music,GSI_MLC_PA_SVM,0.50,2,IL,,,,,,,0.4658119658119658,0.46011396011396005,0.6008195695695696,0.48592503987240826,0.5274501424501424,4
music,GSI_MLC_PA_SVM,0.50,3,DL,0.8926553672316384,0.6398305084745762,0.7675282234105764,0.44643024673984427,0.5473994292552702,3,,,,,,
music,GSI_MLC_PA_SVM,0.50,3,IL,,,,,,,0.7853107344632768,0.709039548022599,0.771187227327578,0.6702115494568325,0.7093862602634532,3
music,GSI_MLC_PA_SVM,0.50,4,DL,0.7815126050420168,0.4803921568627451,0.6349206349206349,0.4437910098287457,0.5128607379808479,3,,,,,,
music,GSI_MLC_PA_SVM,0.50,4,IL,,,,,,,0.5014005602240896,0.6792717086834733,0.8216346153846154,0.6365513586608921,0.7111111111111111,3
music,GSI_MLC_PA_SVM,0.50,5,DL,0.42436974789915966,0.5756302521008403,0.5021008403361344,0.23290043290043289,0.3179214402618658,2,,,,,,
music,GSI_MLC_PA_SVM,0.50,5,IL,,,,,,,0.7121848739495799,0.5896358543417367,0.7642469742239328,0.647142988590357,0.6997537741030475,4
scene,GSI_MLC_PA_SVM,,1,DL,1.0,0.5779401530967293,0.7347635098043378,0.5610914338080075,0.6161378276132374,5,,,,,,
scene,GSI_MLC_PA_SVM,,1,IL,,,,,,,1.0,0.9457202505219207,0.896551724137931,0.7222222222222222,0.8,1
scene,GSI_MLC_PA_SVM,,2,DL,1.0,0.5679916317991632,0.7869458360267183,0.5471612238125508,0.6251640019448831,5,,,,,,
scene,GSI_MLC_PA_SVM,,2,IL,,,,,,,1.0,0.9267782426778243,0.8611111111111112,0.7126436781609196,0.779874213836478,1
scene,GSI_MLC_PA_SVM,,3,DL,1.0,0.5290300546448087,0.7669178380722625,0.5489718182409619,0.6244211198769855,6,,,,,,
scene,GSI_MLC_PA_SVM,,3,IL,,,,,,,,,,,,0
scene,GSI_MLC_PA_SVM,,4,DL,1.0,0.5758835758835759,0.7937347313966813,0.5852754478667982,0.6625515926609246,6,,,,,,
scene,GSI_MLC_PA_SVM,,4,IL,,,,,,,,,,,,0
scene,GSI_MLC_PA_SVM,,5,DL,1.0,0.6361746361746362,0.7595833333333333,0.5348545609055715,0.6091609996429275,4,,,,,,
scene,GSI_MLC_PA_SVM,,5,IL,,,,,,,1.0,0.8918918918918919,0.9090909090909091,0.7568886789481971,0.8244698358959891,2
scene,GSI_MLC_PA_SVM,0.20,1,DL,0.6384133611691023,0.5779401530967293,0.7347635098043378,0.5610914338080075,0.6161378276132374,5,,,,,,
scene,GSI_MLC_PA_SVM,0.20,1,IL,,,,,,,0.9916492693110647,0.9457202505219207,0.896551724137931,0.7222222222222222,0.8,1
scene,GSI_MLC_PA_SVM,0.20,2,DL,0.6824267782426778,0.5679916317991632,0.7869458360267183,0.5471612238125508,0.6251640019448831,5,,,,,,
scene,GSI_MLC_PA_SVM,0.20,2,IL,,,,,,,0.9037656903765691,0.9267782426778243,0.8611111111111112,0.7126436781609196,0.779874213836478,1
scene,GSI_MLC_PA_SVM,0.20,3,DL,0.64275956284153,0.5290300546448087,0.7669178380722625,0.5489718182409619,0.6244211198769855,6,,,,,,
scene,GSI_MLC_PA_SVM,0.20,3,IL,,,,,,,,,,,,0
scene,GSI_MLC_PA_SVM,0.20,4,DL,0.717948717948718,0.5758835758835759,0.7937347313966813,0.5852754478667982,0.6625515926609246,6,,,,,,
scene,GSI_MLC_PA_SVM,0.20,4,IL,,,,,,,,,,,,0
scene,GSI_MLC_PA_SVM,0.20,5,DL,0.6704781704781705,0.6361746361746362,0.7595833333333333,0.5348545609055715,0.6091609996429275,4,,,,,,
scene,GSI_MLC_PA_SVM,0.20,5,IL,,,,,,,0.7713097713097713,0.8918918918918919,0.9090909090909091,0.7568886789481971,0.8244698358959891,2
scene,GSI_MLC_PA_SVM,0.25,1,DL,0.6384133611691023,0.5779401530967293,0.7347635098043378,0.5610914338080075,0.6161378276132374,5,,,,,,
scene,GSI_MLC_PA_SVM,0.25,1,IL,,,,,,,0.9916492693110647,0.9457202505219207,0.896551724137931,0.7222222222222222,0.8,1
scene,GSI_MLC_PA_SVM,0.25,2,DL,0.6824267782426778,0.5679916317991632,0.7869458360267183,0.5471612238125508,0.6251640019448831,5,,,,,,
scene,GSI_MLC_PA_SVM,0.25,2,IL,,,,,,,0.9037656903765691,0.9267782426778243,0.8611111111111112,0.7126436781609196,0.779874213836478,1
scene,GSI_MLC_PA_SVM,0.25,3,DL,0.64275956284153,0.5290300546448087,0.7669178380722625,0.5489718182409619,0.6244211198769855,6,,,,,,
scene,GSI_MLC_PA_SVM,0.25,3,IL,,,,,,,,,,,,0
scene,GSI_MLC_PA_SVM,0.25,4,DL,0.717948717948718,0.5758835758835759,0.7937347313966813,0.5852754478667982,0.6625515926609246,6,,,,,,
scene,GSI_MLC_PA_SVM,0.25,4,IL,,,,,,,,,,,,0
scene,GSI_MLC_PA_SVM,0.25,5,DL,0.6704781704781705,0.6361746361746362,0.7595833333333333,0.5348545609055715,0.6091609996429275,4,,,,,,
scene,GSI_MLC_PA_SVM,0.25,5,IL,,,,,,,0.7713097713097713,0.8918918918918919,0.9090909090909091,0.7568886789481971,0.8244698358959891,2
scene,GSI_MLC_PA_SVM,0.30,1,DL,0.6384133611691023,0.5779401530967293,0.7347635098043378,0.5610914338080075,0.6161378276132374,5,,,,,,
scene,GSI_MLC_PA_SVM,0.30,1,IL,,,,,,,0.9916492693110647,0.9457202505219207,0.896551724137931,0.7222222222222222,0.8,1
scene,GSI_MLC_PA_SVM,0.30,2,DL,0.6824267782426778,0.5679916317991632,0.7869458360267183,0.5471612238125508,0.6251640019448831,5,,,,,,
scene,GSI_MLC_PA_SVM,0.30,2,IL,,,,,,,0.9037656903765691,0.9267782426778243,0.8611111111111112,0.7126436781609196,0.779874213836478,1
