Dataset,Model,Fold,Hamming Accuracy,Hamming Loss,Instance Jaccard,Instance-F1,Macro Precision,Macro Recall,Macro-F1,Micro-F1,Subset Accuracy
emotions,MLC_PA_SVM,2,0.7927170868347339,0.20728291316526612,0.44537815126050423,0.5131652661064425,0.6543827160493827,0.4757918125431737,0.5472967449301249,0.5888888888888889,0.23529411764705882
emotions,MLC_PA_SVM,3,0.7994579945799458,0.2005420054200542,0.486449864498645,0.5628726287262873,0.6285058895353013,0.5462460388500421,0.5754488038510298,0.6262626262626263,0.25203252032520324
emotions,MLC_PA_SVM,4,0.7944444444444445,0.20555555555555555,0.4631944444444444,0.5433333333333333,0.7085987088969089,0.5119856362393894,0.5779402789841044,0.6145833333333334,0.225
emotions,MLC_PA_SVM,5,0.7828746177370031,0.21712538226299694,0.44954128440366975,0.5324159021406728,0.7308080808080808,0.4950813493222513,0.5648692244675182,0.6162162162162163,0.2018348623853211
emotions,GSI_MLC_PA_SVM,1,0.7978142076502732,0.20218579234972678,0.47404371584699456,0.542896174863388,0.7047291235334714,0.5179619077627139,0.5755224297673475,0.6145833333333334,0.2459016393442623
emotions,GSI_MLC_PA_SVM,2,0.8011204481792717,0.19887955182072828,0.49299719887955185,0.5669467787114846,0.778262924814649,0.523608031412024,0.6132266689058673,0.6182795698924731,0.2605042016806723
emotions,GSI_MLC_PA_SVM,3,0.8035230352303523,0.19647696476964768,0.47696476964769646,0.550948509485095,0.68467832820774,0.5361408756008627,0.5916959688146128,0.6272493573264781,0.25203252032520324
emotions,GSI_MLC_PA_SVM,4,0.7958333333333334,0.20416666666666666,0.4715277777777777,0.5544444444444444,0.7110496892890658,0.5167475410012942,0.5828422397684181,0.6181818181818182,0.225
emotions,GSI_MLC_PA_SVM,5,0.7752293577981652,0.22477064220183487,0.46024464831804274,0.5437308868501529,0.7105354233580039,0.49573740121669324,0.5677191523174459,0.608,0.22018348623853212
music,BR_SVM,1,0.8053221288515406,0.19467787114845939,0.47507002801120446,0.5369747899159664,0.8379461912356648,0.4894126318129896,0.5688568681361986,0.6170798898071626,0.2689075630252101
music,BR_SVM,2,0.7792022792022792,0.2207977207977208,0.44871794871794873,0.5236467236467236,0.6351679578128854,0.5043976773400222,0.5549989850491104,0.5953002610966057,0.2222222222222222
music,BR_SVM,3,0.8050847457627118,0.19491525423728814,0.4774011299435027,0.5499999999999998,0.8068354437291485,0.5124989010379513,0.5643269836731432,0.6329787234042553,0.2542372881355932
music,BR_SVM,4,0.803921568627451,0.19607843137254902,0.4824929971988796,0.557422969187675,0.7289236199846666,0.5177747127917437,0.5832296582296582,0.6256684491978609,0.25210084033613445
music,BR_SVM,5,0.7969187675070029,0.2030812324929972,0.4362745098039216,0.5173669467787113,0.6817202050381774,0.5031458307774098,0.5606102601764424,0.6133333333333333,0.19327731092436976
music,CC_SVM,1,0.7927170868347339,0.20728291316526612,0.5247899159663866,0.5955182072829133,0.7756827497306061,0.5633989533902113,0.5788969188534194,0.6354679802955665,0.3025210084033613
music,CC_SVM,2,0.7663817663817664,0.2336182336182336,0.5021367521367521,0.5789173789173789,0.5857383218767974,0.5665695449736573,0.5606554655844002,0.6095238095238096,0.28205128205128205
music,CC_SVM,3,0.7838983050847458,0.21610169491525424,0.49999999999999994,0.5754237288135593,0.7376996097584333,0.5794975870038666,0.5639809913327033,0.6313253012048192,0.2711864406779661
music,CC_SVM,4,0.7829131652661064,0.21708683473389356,0.5289915966386555,0.6061624649859945,0.6412041522794212,0.6093054202759893,0.5908188693465991,0.6370023419203747,0.29411764705882354
