Dataset,Model,Model_Name,Macro-F1_Mean,Macro-F1_Std,Micro-F1_Mean,Micro-F1_Std,Hamming Loss_Mean,Hamming Loss_Std,Subset Accuracy_Mean,Subset Accuracy_Std,Example-F1_Mean,Example-F1_Std,Macro Precision_Mean,Macro Precision_Std,Macro Recall_Mean,Macro Recall_Std
scene,BR,BR (LinearSVC),0.6828777982296013,0.022542399418364032,0.6753905714178143,0.022272180112680506,0.11133489112549924,0.007670767905234356,0.5123272040621558,0.02706535595640887,0.6208287423160405,0.026281318430850964,0.713171947984546,0.026221621914335524,0.6586241701294939,0.025368833238297136
scene,BR_Logistic,BR (Logistic Reg),0.699048714365474,0.022693759719044193,0.6935254538414852,0.0230059209343074,0.09940415841641523,0.006028852145968628,0.536118500835672,0.03384108387782651,0.6169086224480036,0.028781028137527108,0.7765593371660887,0.018641784761479156,0.6404819552928338,0.027399940722677957
scene,BR_MLP,BR (MLP),0.7822136335266207,0.019777188092619552,0.7704668356262209,0.01897782377455932,0.08597555130297124,0.006985835846866401,0.653189915384612,0.02970659139802238,0.7789992711813656,0.021214334509133098,0.7535503303137078,0.02205383937687095,0.816203294080978,0.019654022659488565
scene,CC,CC (LinearSVC),0.6974555334654605,0.02707579898799893,0.6865007994173465,0.027086743959100976,0.11105021371188559,0.00948985865986769,0.6306774384228857,0.028779226852043358,0.6886764640550739,0.028111936402366394,0.7080111335389097,0.026424277240804796,0.6903461136631367,0.026182245781791375
scene,CC_MLP,CC (MLP),0.7097821683860831,0.022548352479351205,0.6985976347069254,0.02052542688707974,0.11873738370199556,0.008364443318204445,0.5309796029798355,0.028565324380927265,0.7085844449501373,0.0213375950920183,0.6565119815282869,0.023199344394592255,0.7803872944006833,0.02290438112359467
yeast,BR,BR (LinearSVC),0.3607305887674964,0.0076443363240435176,0.6354545951475047,0.004554577091169085,0.20157270265973498,0.0014345231855294033,0.14857140776333413,0.009325584020094382,0.6101345278850461,0.005942026166617198,0.5152873146473247,0.059674049761508655,0.3454755095082055,0.005379897601474513
yeast,BR_Logistic,BR (Logistic Reg),0.37475132679826995,0.009181026984494358,0.6350631933787626,0.00552932336671312,0.20189970043729644,0.0014434284029434439,0.14649841248260445,0.010720306452856364,0.6092284716793476,0.006750649953131966,0.5332256669414461,0.03823827592514842,0.35224705047425964,0.0075875860995946185
yeast,BR_MLP,BR (MLP),0.4901543648288393,0.009848428141237375,0.643034793248179,0.005626618939790074,0.23640875374865908,0.003763947637725886,0.15932857569376352,0.007730486123173391,0.6314219574855352,0.004418751784999505,0.45546435986242495,0.007934316894897488,0.5348037643021232,0.013684680589844032
yeast,CC,CC (LinearSVC),0.40677230310274837,0.013939545139503958,0.6207035015150301,0.01325894468939814,0.21685666767433753,0.00620193354166321,0.20274886234299264,0.01028475053640625,0.5886333097844988,0.016157951935540052,0.483077796000637,0.032082877353632515,0.38708430678821265,0.01463678507467243
yeast,CC_MLP,CC (MLP),0.48105446281428543,0.013865833994222287,0.639270934096632,0.00816358226679916,0.23578537734912777,0.003533051594185079,0.1952967876431519,0.009811620411435283,0.6276529403278636,0.008848715293883891,0.451401802426036,0.009186489373738933,0.5185819831896746,0.02152683277574464
cal500,BR,BR (LinearSVC),0.09521434443314536,0.0055807399783645495,0.35822069528805056,0.007545424756368983,0.1432206228378375,0.0036024904125236787,0.0,0.0,0.35565812276881903,0.008545571522203326,0.14639013800828554,0.00841386811101601,0.08440756982349164,0.004590085719543496
cal500,BR_Logistic,BR (Logistic Reg),0.07390121531110586,0.0031708394348777553,0.3456262447299476,0.004566307292861881,0.13726895257486454,0.0022638322900152942,0.0,0.0,0.34542813920732807,0.005197756028813486,0.1308080284736954,0.011854048050083195,0.06838331031252148,0.002431480587892524
cal500,BR_MLP,BR (MLP),0.2040028464121444,0.004217760917545802,0.38426571063001314,0.01145317772727615,0.22305642561034905,0.007464714983591847,0.0,0.0,0.37901856674436063,0.00897436153116072,0.17738897520546287,0.005261899873776718,0.25863586375731423,0.007142877932919765
