Dataset,Model,Cost,Fold,Status,Critical Labels,Reason
music,GSI_MLC_PA_SVM,0.20,5,N/A,[],label policy is not configured by the domain
music,GSI_MLC_PA_SVM,0.25,1,N/A,[],label policy is not configured by the domain
music,GSI_MLC_PA_SVM,0.25,2,N/A,[],label policy is not configured by the domain
music,GSI_MLC_PA_SVM,0.25,3,N/A,[],label policy is not configured by the domain
music,GSI_MLC_PA_SVM,0.25,4,N/A,[],label policy is not configured by the domain
music,GSI_MLC_PA_SVM,0.25,5,N/A,[],label policy is not configured by the domain
music,GSI_MLC_PA_SVM,0.30,1,N/A,[],label policy is not configured by the domain
music,GSI_MLC_PA_SVM,0.30,2,N/A,[],label policy is not configured by the domain
music,GSI_MLC_PA_SVM,0.30,3,N/A,[],label policy is not configured by the domain
music,GSI_MLC_PA_SVM,0.30,4,N/A,[],label policy is not configured by the domain
