Dataset,Model,Fold,Hamming Accuracy,Hamming Loss,Instance Jaccard,Instance-F1,Macro Precision,Macro Recall,Macro-F1,Micro-F1,Subset Accuracy
emotions,BR_MLP,1,0.7035519125683061,0.296448087431694,0.4826502732240437,0.6032006245120999,0.5177543967840621,0.7966968003535561,0.6184258283840555,0.6226086956521739,0.10655737704918032
emotions,BR_MLP,2,0.7380952380952381,0.2619047619047619,0.5162464985994398,0.619607843137255,0.5586756746939813,0.7850089011613512,0.6464928858477245,0.649155722326454,0.18487394957983194
emotions,BR_MLP,3,0.7330623306233062,0.2669376693766938,0.49444444444444446,0.6139372822299652,0.5190502527507862,0.7779531503363261,0.6204836267779792,0.6385321100917432,0.13008130081300814
emotions,BR_MLP,4,0.7527777777777778,0.24722222222222223,0.5527777777777778,0.6678174603174604,0.5800766108446705,0.8556800596318093,0.6829624072591506,0.6821428571428572,0.175
emotions,BR_MLP,5,0.7492354740061162,0.25076452599388377,0.5707951070336391,0.6805591961555265,0.5984034383299127,0.8351293513102029,0.6920664096228006,0.6962962962962963,0.2018348623853211
emotions,CC_MLP,1,0.7117486338797814,0.28825136612021857,0.4733606557377049,0.5591725214676034,0.5252769698989187,0.6899628034536617,0.5865889368380244,0.5950095969289827,0.19672131147540983
emotions,CC_MLP,2,0.7408963585434174,0.25910364145658266,0.5287114845938375,0.6291716686674671,0.5559155518533988,0.7798668210192711,0.6448236819185409,0.6489563567362429,0.21008403361344538
emotions,CC_MLP,3,0.7168021680216803,0.28319783197831977,0.48414634146341473,0.5872241579558652,0.5048957964282038,0.7364833494229951,0.5962454467424938,0.6093457943925233,0.17886178861788618
emotions,CC_MLP,4,0.7305555555555556,0.26944444444444443,0.5093055555555556,0.6091666666666666,0.5534108477949058,0.7434170887818882,0.622776382821555,0.6311787072243346,0.2
emotions,CC_MLP,5,0.7370030581039755,0.26299694189602446,0.5466360856269113,0.6322411533420709,0.5908847286972286,0.7697294939160703,0.6624502351392815,0.667953667953668,0.26605504587155965
emotions,MLC_PA_MLP,1,0.7035519125683061,0.296448087431694,0.4826502732240437,0.6032006245120999,0.5177543967840621,0.7966968003535561,0.6184258283840555,0.6226086956521739,0.10655737704918032
emotions,MLC_PA_MLP,2,0.7380952380952381,0.2619047619047619,0.5162464985994398,0.619607843137255,0.5586756746939813,0.7850089011613512,0.6464928858477245,0.649155722326454,0.18487394957983194
emotions,MLC_PA_MLP,3,0.7330623306233062,0.2669376693766938,0.49444444444444446,0.6139372822299652,0.5190502527507862,0.7779531503363261,0.6204836267779792,0.6385321100917432,0.13008130081300814
emotions,MLC_PA_MLP,4,0.7527777777777778,0.24722222222222223,0.5527777777777778,0.6678174603174604,0.5800766108446705,0.8556800596318093,0.6829624072591506,0.6821428571428572,0.175
emotions,MLC_PA_MLP,5,0.7492354740061162,0.25076452599388377,0.5707951070336391,0.6805591961555265,0.5984034383299127,0.8351293513102029,0.6920664096228006,0.6962962962962963,0.2018348623853211
emotions,GSI_MLC_PA_MLP,1,0.7349726775956285,0.2650273224043716,0.47909836065573774,0.5927400468384076,0.5556101688155116,0.7415543660213325,0.6289174778713248,0.6311787072243346,0.11475409836065574
emotions,GSI_MLC_PA_MLP,2,0.7773109243697479,0.22268907563025211,0.5369747899159665,0.6235694277711085,0.6180728088336783,0.712317416400901,0.6594727273234656,0.6638477801268499,0.2689075630252101
emotions,GSI_MLC_PA_MLP,3,0.7560975609756098,0.24390243902439024,0.5047425474254743,0.6075106465350367,0.5320631436173414,0.7022416745234303,0.5956883051405523,0.6385542168674698,0.1951219512195122
emotions,GSI_MLC_PA_MLP,4,0.7569444444444444,0.24305555555555555,0.5466666666666666,0.6643253968253968,0.5960204883956909,0.8167911707429204,0.6788791079533114,0.6777163904235728,0.15833333333333333
emotions,GSI_MLC_PA_MLP,5,0.7660550458715596,0.23394495412844038,0.5515290519877676,0.6487549148099607,0.6126667454136724,0.7017493326360666,0.6408670402212228,0.6778947368421052,0.25688073394495414
music,BR_MLP,1,0.7002801120448179,0.29971988795518206,0.5149859943977592,0.6358943577430973,0.518320994769913,0.8523918775468274,0.6391926871185691,0.6421404682274248,0.15966386554621848
music,BR_MLP,2,0.7051282051282051,0.2948717948717949,0.5055555555555555,0.6142450142450142,0.5189481965384692,0.7663576001855107,0.6130857818666612,0.6243194192377496,0.1794871794871795
music,BR_MLP,3,0.7231638418079096,0.2768361581920904,0.5324858757062148,0.652502017756255,0.5389482047279215,0.8645584886778882,0.6586276194323453,0.6632302405498282,0.17796610169491525
music,BR_MLP,4,0.7296918767507004,0.2703081232492997,0.526890756302521,0.6388955582232894,0.537972388518701,0.8424362151332185,0.6519415682477319,0.6596119929453262,0.19327731092436976
music,BR_MLP,5,0.7240896358543417,0.2759103641456583,0.5313725490196078,0.6489395758303322,0.5387564271679471,0.851913145334198,0.6552130430146197,0.6573913043478261,0.14285714285714285
music,CC_MLP,1,0.73109243697479,0.2689075630252101,0.511624649859944,0.6165666266506603,0.5600267279348442,0.7730847028398045,0.6387982996716297,0.6444444444444445,0.19327731092436976
music,CC_MLP,2,0.7236467236467237,0.27635327635327633,0.4881766381766382,0.5942612942612943,0.5414541376497898,0.7304323095432389,0.6183111200444602,0.6269230769230769,0.1282051282051282
music,CC_MLP,3,0.713276836158192,0.2867231638418079,0.4995762711864407,0.5958030669895077,0.5310230142854256,0.7353006966681832,0.6085961899127468,0.6191369606003753,0.19491525423728814
music,CC_MLP,4,0.73109243697479,0.2689075630252101,0.5201680672268908,0.6296118447378953,0.5432195388590738,0.7987889665470131,0.6388629171869433,0.6496350364963503,0.18487394957983194
music,CC_MLP,5,0.7226890756302521,0.2773109243697479,0.5067226890756303,0.6186474589835934,0.5379427586662205,0.7689890518837887,0.626442136258099,0.6319702602230484,0.14285714285714285
music,MLC_PA_MLP,1,0.7002801120448179,0.29971988795518206,0.5149859943977592,0.6358943577430973,0.518320994769913,0.8523918775468274,0.6391926871185691,0.6421404682274248,0.15966386554621848
music,MLC_PA_MLP,2,0.7051282051282051,0.2948717948717949,0.5055555555555555,0.6142450142450142,0.5189481965384692,0.7663576001855107,0.6130857818666612,0.6243194192377496,0.1794871794871795
music,MLC_PA_MLP,3,0.7231638418079096,0.2768361581920904,0.5324858757062148,0.652502017756255,0.5389482047279215,0.8645584886778882,0.6586276194323453,0.6632302405498282,0.17796610169491525
music,MLC_PA_MLP,4,0.7296918767507004,0.2703081232492997,0.526890756302521,0.6388955582232894,0.537972388518701,0.8424362151332185,0.6519415682477319,0.6596119929453262,0.19327731092436976
music,MLC_PA_MLP,5,0.7240896358543417,0.2759103641456583,0.5313725490196078,0.6489395758303322,0.5387564271679471,0.851913145334198,0.6552130430146197,0.6573913043478261,0.14285714285714285
music,GSI_MLC_PA_MLP,1,0.7394957983193278,0.2605042016806723,0.519887955182073,0.6340736294517807,0.5639654888915532,0.8033339980515027,0.6579646525240825,0.6593406593406593,0.15966386554621848
music,GSI_MLC_PA_MLP,2,0.7279202279202279,0.2720797720797721,0.5042735042735044,0.6041921041921042,0.5527982220328055,0.7151107724242838,0.6200470913002882,0.6262230919765166,0.20512820512820512
music,GSI_MLC_PA_MLP,3,0.7485875706214689,0.2514124293785311,0.5387005649717514,0.6577280064568201,0.5673590756552398,0.8054675795869791,0.6614903363244246,0.6715867158671587,0.17796610169491525
music,GSI_MLC_PA_MLP,4,0.7464985994397759,0.2535014005602241,0.5323529411764706,0.6399159663865547,0.5646858273473335,0.8113341191224003,0.6620369539872261,0.6666666666666666,0.20168067226890757
music,GSI_MLC_PA_MLP,5,0.7591036414565826,0.24089635854341737,0.5336134453781513,0.641016406562625,0.5975525757693316,0.7755922440132966,0.6693432353435668,0.6653696498054474,0.16806722689075632
scene,BR_MLP,1,0.779401530967293,0.22059846903270702,0.4981558803061934,0.626026443980515,0.47883906161730944,0.923077988010106,0.620086486026653,0.6007556675062973,0.162839248434238
scene,BR_MLP,2,0.7820781032078103,0.21792189679218968,0.4925034867503487,0.6301952580195258,0.49123643065501693,0.9417108925750316,0.6345399486224451,0.6086412022542267,0.13179916317991633
scene,BR_MLP,3,0.7653688524590164,0.2346311475409836,0.4689207650273224,0.6062841530054645,0.4535490051689039,0.9423969782963887,0.604403253419782,0.5858951175406871,0.1168032786885246
scene,BR_MLP,4,0.7775467775467775,0.22245322245322247,0.49185724185724183,0.6219681219681219,0.4841238822438481,0.9205974881768951,0.6213163116366608,0.5962264150943396,0.158004158004158
scene,BR_MLP,5,0.782051282051282,0.21794871794871795,0.5015592515592515,0.6322938322938323,0.48374374060831116,0.9419170980786761,0.6305022796120133,0.6061365059486538,0.16632016632016633
scene,CC_MLP,1,0.8162839248434238,0.1837160751565762,0.5274878218510787,0.6352122477383437,0.5120943297685406,0.8533815901510601,0.6368758064833443,0.625,0.23173277661795408
scene,CC_MLP,2,0.8270571827057183,0.17294281729428174,0.5564853556485355,0.6610181311018131,0.5282542853336597,0.8763775108376097,0.6573315161334382,0.6452074391988555,0.26569037656903766
scene,CC_MLP,3,0.8131830601092896,0.18681693989071038,0.5175887978142076,0.6224043715846994,0.5025121220919184,0.8469168631375684,0.6265512949847994,0.6145172656800564,0.22540983606557377
scene,CC_MLP,4,0.816008316008316,0.183991683991684,0.5197505197505198,0.6210672210672211,0.5111120632272054,0.8254017283419636,0.6271405184994205,0.6160520607375272,0.2390852390852391
scene,CC_MLP,5,0.8094248094248094,0.19057519057519057,0.5114345114345115,0.6203049203049203,0.5005452359075248,0.8445696603581555,0.6269478700573081,0.611032531824611,0.21205821205821207
scene,MLC_PA_MLP,1,0.779401530967293,0.22059846903270702,0.4981558803061934,0.626026443980515,0.47883906161730944,0.923077988010106,0.620086486026653,0.6007556675062973,0.162839248434238
scene,MLC_PA_MLP,2,0.7820781032078103,0.21792189679218968,0.4925034867503487,0.6301952580195258,0.49123643065501693,0.9417108925750316,0.6345399486224451,0.6086412022542267,0.13179916317991633
scene,MLC_PA_MLP,3,0.7653688524590164,0.2346311475409836,0.4689207650273224,0.6062841530054645,0.4535490051689039,0.9423969782963887,0.604403253419782,0.5858951175406871,0.1168032786885246
scene,MLC_PA_MLP,4,0.7775467775467775,0.22245322245322247,0.49185724185724183,0.6219681219681219,0.4841238822438481,0.9205974881768951,0.6213163116366608,0.5962264150943396,0.158004158004158
scene,MLC_PA_MLP,5,0.782051282051282,0.21794871794871795,0.5015592515592515,0.6322938322938323,0.48374374060831116,0.9419170980786761,0.6305022796120133,0.6061365059486538,0.16632016632016633
scene,GSI_MLC_PA_MLP,1,0.8239387613082811,0.17606123869171886,0.5483646485734167,0.6476687543493389,0.5327429958555834,0.8572067816464236,0.6493447890936662,0.6370157819225251,0.2776617954070981
scene,GSI_MLC_PA_MLP,2,0.8190376569037657,0.1809623430962343,0.5484658298465829,0.6634588563458856,0.5448846623593148,0.9022945276981096,0.6674002912282258,0.642315644383184,0.23430962343096234
scene,GSI_MLC_PA_MLP,3,0.798155737704918,0.20184426229508196,0.5151980874316939,0.6241803278688525,0.4968648125157231,0.8721516772450985,0.6205679714592861,0.6041527126590757,0.22336065573770492
scene,GSI_MLC_PA_MLP,4,0.8246708246708246,0.17532917532917533,0.5464310464310463,0.6437976437976437,0.5300833705967545,0.8398383479486471,0.6417862595246188,0.6317321688500728,0.2785862785862786
scene,GSI_MLC_PA_MLP,5,0.8142758142758143,0.18572418572418573,0.5171517671517671,0.6230769230769231,0.5110322720581811,0.8431289516749866,0.6338675285324935,0.6182336182336182,0.2286902286902287
yeast,BR_MLP,1,0.6195876288659794,0.3804123711340206,0.38831334759169805,0.5278445327187787,0.3766053313669297,0.6421681509077778,0.4444402474484832,0.5348460291734197,0.049484536082474224
yeast,BR_MLP,2,0.6111929307805597,0.38880706921944036,0.3813074439878564,0.520411598037432,0.3669151544595287,0.6246284135058854,0.43585529442721727,0.525691699604743,0.03917525773195876
yeast,BR_MLP,3,0.6286610878661087,0.3713389121338912,0.39755306292963194,0.5359784126905907,0.38340530140420853,0.621644153865273,0.44539872451444856,0.5424415393113607,0.04602510460251046
yeast,BR_MLP,4,0.6264078245406046,0.3735921754593954,0.39448203939905185,0.5295345740947787,0.37483595011374365,0.62994798418563,0.4386900493423611,0.5352995391705069,0.06639004149377593
yeast,BR_MLP,5,0.6122029920797888,0.3877970079202112,0.37830035011759855,0.516932021030056,0.3594439697118286,0.6176879978847962,0.4268297734342711,0.5227436823104693,0.045174537987679675
yeast,CC_MLP,1,0.6910162002945508,0.3089837997054492,0.46175094092619867,0.5892100416933649,0.39790468105653093,0.6173593518337904,0.4654449032712928,0.59684857801691,0.08247422680412371
yeast,CC_MLP,2,0.6846833578792342,0.3153166421207658,0.4540779094902806,0.5834368811567114,0.3804666695640252,0.5745745336109004,0.44452449349366485,0.5851579151327262,0.07216494845360824
yeast,CC_MLP,3,0.692916915720263,0.307083084279737,0.46871677253476424,0.5957957233231855,0.39299248200149794,0.5858337111517142,0.4564893815149476,0.5974534769833496,0.08786610878661087
yeast,CC_MLP,4,0.7018375815056312,0.2981624184943687,0.46972937735385867,0.5935863664445553,0.3999297323336655,0.5866489536050474,0.4644240502622606,0.6012683313515655,0.0995850622406639
yeast,CC_MLP,5,0.6956585508946905,0.30434144910530947,0.46601871776409765,0.5948653468683537,0.39371733009793897,0.6029875931135849,0.46227404188102367,0.597478176527643,0.08624229979466119
yeast,MLC_PA_MLP,1,0.6195876288659794,0.3804123711340206,0.38831334759169805,0.5278445327187787,0.3766053313669297,0.6421681509077778,0.4444402474484832,0.5348460291734197,0.049484536082474224
yeast,MLC_PA_MLP,2,0.6111929307805597,0.38880706921944036,0.3813074439878564,0.520411598037432,0.3669151544595287,0.6246284135058854,0.43585529442721727,0.525691699604743,0.03917525773195876
yeast,MLC_PA_MLP,3,0.6286610878661087,0.3713389121338912,0.39755306292963194,0.5359784126905907,0.38340530140420853,0.621644153865273,0.44539872451444856,0.5424415393113607,0.04602510460251046
yeast,MLC_PA_MLP,4,0.6264078245406046,0.3735921754593954,0.39448203939905185,0.5295345740947787,0.37483595011374365,0.62994798418563,0.4386900493423611,0.5352995391705069,0.06639004149377593
