Dataset,Model,Cost,Fold,Scope,Reviewer Accuracy,AURC,Captured Error Count,Cost-Sensitive Utility,Coverage,Error Capture Lift,Error Capture Rate,Full Error Count,Generalized Loss,Immediate Hamming Accuracy,Immediate Instance-F1,Immediate Macro-F1,Optimistic Gain Hamming Accuracy,Optimistic Gain Macro-F1,Optimistic Hamming Accuracy,Optimistic Macro-F1,Random-Rejection Expected Capture,Rejected Error Rate,Review Load Case,Review Load Position,Reviewed Position Count,Risk at Coverage,Selective Hamming Accuracy,Selective Risk
emotions,MLC_PA_MLP,0.30,1,Operating Point,,0.18041669886265319,217,,0.01912568306010929,1.0194986072423398,1.0,217,0.29426229508196733,0.7035519125683061,0.6032006245120999,0.6184258283840555,0.29644808743169393,0.38157417161594454,1.0,1.0,0.9808743169398907,0.3022284122562674,1.0,0.9808743169398907,718,0.0,1.0,0.0
emotions,MLC_PA_MLP,0.30,2,Operating Point,,0.14952307989235247,187,,0.01680672268907563,1.0170940170940173,1.0,187,0.29495798319327743,0.7380952380952381,0.619607843137255,0.6464928858477245,0.26190476190476186,0.35350711415227554,1.0,1.0,0.9831932773109243,0.26638176638176636,1.0,0.9831932773109243,702,0.0,1.0,0.0
emotions,MLC_PA_MLP,0.30,3,Operating Point,,0.15153367508051271,197,,0.01084010840108401,1.010958904109589,1.0,197,0.2967479674796749,0.7330623306233062,0.6139372822299652,0.6204836267779792,0.26693766937669383,0.3795163732220208,1.0,1.0,0.989159891598916,0.26986301369863014,1.0,0.989159891598916,730,0.0,1.0,0.0
emotions,MLC_PA_MLP,0.30,4,Operating Point,,0.1445517228493241,178,,0.001388888888888889,1.0013908205841446,1.0,178,0.2995833333333334,0.7527777777777778,0.6678174603174604,0.6829624072591506,0.24722222222222223,0.3170375927408494,1.0,1.0,0.9986111111111111,0.24756606397774686,1.0,0.9986111111111111,719,0.0,1.0,0.0
emotions,MLC_PA_MLP,0.30,5,Operating Point,,0.1503124663314044,164,,0.02599388379204893,1.0266875981161696,1.0,164,0.29220183486238543,0.7492354740061162,0.6805591961555265,0.6920664096228006,0.25076452599388377,0.30793359037719936,1.0,1.0,0.9740061162079511,0.25745682888540034,1.0,0.9740061162079511,637,0.0,1.0,0.0
emotions,MLC_PA_MLP,0.35,1,Operating Point,,0.18041669886265319,214,,0.07377049180327869,1.0647200358876066,0.9861751152073732,217,0.3282786885245902,0.7035519125683061,0.6032006245120999,0.6184258283840555,0.2923497267759563,0.3739389100525332,0.9959016393442623,0.9923647384365887,0.9262295081967213,0.31563421828908556,1.0,0.9262295081967213,678,0.05555555555555558,0.9444444444444444,0.05555555555555558
emotions,MLC_PA_MLP,0.35,2,Operating Point,,0.14952307989235247,185,,0.058823529411764705,1.0511363636363635,0.9893048128342246,187,0.33221288515406167,0.7380952380952381,0.619607843137255,0.6464928858477245,0.2591036414565826,0.34845660910177045,0.9971988795518207,0.9949494949494949,0.9411764705882353,0.27529761904761907,1.0,0.9411764705882353,672,0.04761904761904767,0.9523809523809523,0.04761904761904767
emotions,MLC_PA_MLP,0.35,3,Operating Point,,0.15153367508051271,196,,0.07181571815718157,1.0719033680388306,0.9949238578680203,197,0.32621951219512196,0.7330623306233062,0.6139372822299652,0.6204836267779792,0.2655826558265584,0.37729415099979857,0.9986449864498645,0.9977777777777778,0.9281842818428184,0.28613138686131384,1.0,0.9281842818428184,685,0.018867924528301883,0.9811320754716981,0.018867924528301883
emotions,MLC_PA_MLP,0.35,4,Operating Point,,0.1445517228493241,175,,0.058333333333333334,1.0440489211494481,0.9831460674157303,178,0.33375,0.7527777777777778,0.6678174603174604,0.6829624072591506,0.24305555555555558,0.3100524937410536,0.9958333333333333,0.9930149010002042,0.9416666666666667,0.2581120943952802,1.0,0.9416666666666667,678,0.0714285714285714,0.9285714285714286,0.0714285714285714
emotions,MLC_PA_MLP,0.35,5,Operating Point,,0.1503124663314044,161,,0.07186544342507645,1.057720898461044,0.9817073170731707,164,0.3294342507645259,0.7492354740061162,0.6805591961555265,0.6920664096228006,0.24617737003058104,0.30037043206564473,0.9954128440366973,0.9924368416884454,0.9281345565749235,0.2652388797364086,1.0,0.9281345565749235,607,0.06382978723404253,0.9361702127659575,0.06382978723404253
emotions,MLC_PA_MLP,0.40,1,Operating Point,,0.18041669886265319,194,,0.21994535519125682,1.1460853704794725,0.8940092165898618,217,0.3434426229508197,0.7035519125683061,0.6032006245120999,0.6184258283840555,0.26502732240437155,0.3323712472547923,0.9685792349726776,0.9507970756388477,0.7800546448087432,0.3397548161120841,0.9918032786885246,0.7800546448087432,571,0.1428571428571428,0.8571428571428572,0.1428571428571428
emotions,MLC_PA_MLP,0.40,2,Operating Point,,0.14952307989235247,179,,0.19467787114845939,1.188616600790514,0.9572192513368984,187,0.3333333333333333,0.7380952380952381,0.619607843137255,0.6464928858477245,0.2507002801120448,0.33435010971042756,0.988795518207283,0.980842995558152,0.8053221288515406,0.31130434782608696,1.0,0.8053221288515406,575,0.05755395683453235,0.9424460431654677,0.05755395683453235
emotions,MLC_PA_MLP,0.40,3,Operating Point,,0.15153367508051271,176,,0.24661246612466126,1.185845232443487,0.8934010152284264,197,0.329810298102981,0.7330623306233062,0.6139372822299652,0.6204836267779792,0.23848238482384831,0.3321209089030315,0.9715447154471545,0.9526045356810107,0.7533875338753387,0.31654676258992803,0.991869918699187,0.7533875338753387,556,0.11538461538461542,0.8846153846153846,0.11538461538461542
emotions,MLC_PA_MLP,0.40,4,Operating Point,,0.1445517228493241,165,,0.19305555555555556,1.148736196793595,0.9269662921348315,178,0.3408333333333333,0.7527777777777778,0.6678174603174604,0.6829624072591506,0.22916666666666663,0.2889329693747953,0.9819444444444444,0.9718953766339459,0.8069444444444445,0.28399311531841653,1.0,0.8069444444444445,581,0.09352517985611508,0.9064748201438849,0.09352517985611508
emotions,MLC_PA_MLP,0.40,5,Operating Point,,0.1503124663314044,146,,0.25382262996941896,1.1930727708916433,0.8902439024390244,164,0.32599388379204897,0.7492354740061162,0.6805591961555265,0.6920664096228006,0.2232415902140672,0.267688251654432,0.9724770642201834,0.9597546612772326,0.746177370030581,0.29918032786885246,0.981651376146789,0.746177370030581,488,0.10843373493975905,0.891566265060241,0.10843373493975905
emotions,MLC_PA_MLP,0.50,1,Operating Point,,0.18041669886265319,0,,1.0,,0.0,217,0.296448087431694,0.7035519125683061,0.6032006245120999,0.6184258283840555,0.0,0.0,0.7035519125683061,0.6184258283840555,0.0,,0.0,0.0,0,0.29644808743169393,0.7035519125683061,0.29644808743169393
emotions,MLC_PA_MLP,0.50,2,Operating Point,,0.14952307989235247,0,,1.0,,0.0,187,0.2619047619047619,0.7380952380952381,0.619607843137255,0.6464928858477245,0.0,0.0,0.7380952380952381,0.6464928858477245,0.0,,0.0,0.0,0,0.26190476190476186,0.7380952380952381,0.26190476190476186
emotions,MLC_PA_MLP,0.50,3,Operating Point,,0.15153367508051271,0,,1.0,,0.0,197,0.2669376693766938,0.7330623306233062,0.6139372822299652,0.6204836267779792,0.0,0.0,0.7330623306233062,0.6204836267779792,0.0,,0.0,0.0,0,0.26693766937669383,0.7330623306233062,0.26693766937669383
emotions,MLC_PA_MLP,0.50,4,Operating Point,,0.1445517228493241,0,,1.0,,0.0,178,0.24722222222222223,0.7527777777777778,0.6678174603174604,0.6829624072591506,0.0,0.0,0.7527777777777778,0.6829624072591506,0.0,,0.0,0.0,0,0.24722222222222223,0.7527777777777778,0.24722222222222223
emotions,MLC_PA_MLP,0.50,5,Operating Point,,0.1503124663314044,0,,1.0,,0.0,164,0.25076452599388377,0.7492354740061162,0.6805591961555265,0.6920664096228006,0.0,0.0,0.7492354740061162,0.6920664096228006,0.0,,0.0,0.0,0,0.25076452599388377,0.7492354740061162,0.25076452599388377
emotions,GSI_MLC_PA_MLP,0.20,1,Operating Point,,0.15268672028485147,187,,0.17759562841530055,1.1720724731993013,0.9639175257731959,194,0.17404371584699455,0.7349726775956285,0.5927400468384076,0.6289174778713248,0.25546448087431695,0.3553527198217806,0.9904371584699454,0.9842701976931054,0.8224043715846995,0.3106312292358804,0.9918032786885246,0.8224043715846995,602,0.05384615384615388,0.9461538461538461,0.05384615384615388
emotions,GSI_MLC_PA_MLP,0.20,2,Operating Point,,0.13980248834476997,147,,0.2507002801120448,1.2338564627049904,0.9245283018867925,159,0.16666666666666669,0.7773109243697479,0.6235694277711085,0.6594727273234656,0.2058823529411764,0.31031704065709176,0.9831932773109243,0.9697897679805574,0.7492997198879552,0.27476635514018694,1.0,0.7492997198879552,535,0.06703910614525144,0.9329608938547486,0.06703910614525144
emotions,GSI_MLC_PA_MLP,0.20,3,Operating Point,,0.13848735864844627,166,,0.2940379403794038,1.306333973128599,0.9222222222222223,180,0.16016260162601625,0.7560975609756098,0.6075106465350367,0.5956883051405523,0.22493224932249323,0.367895072098647,0.981029810298103,0.9635833772391993,0.7059620596205962,0.31861804222648754,1.0,0.7059620596205962,521,0.06451612903225801,0.935483870967742,0.06451612903225801
emotions,GSI_MLC_PA_MLP,0.20,4,Operating Point,,0.12990116986340408,159,,0.30694444444444446,1.3109647867162897,0.9085714285714286,175,0.16083333333333336,0.7569444444444444,0.6643253968253968,0.6788791079533114,0.22083333333333333,0.2833784477442659,0.9777777777777777,0.9622575556975773,0.6930555555555555,0.3186372745490982,1.0,0.6930555555555555,499,0.07239819004524883,0.9276018099547512,0.07239819004524883
