Dataset,Model,Fold,Bin,Absolute Gap,Count,Lower Bound,Mean Predicted Probability,Observed Positive Rate,Upper Bound
emotions,BR_Logistic,3,4,0.02745255222544074,64,0.4,0.44932755222544074,0.421875,0.5
emotions,BR_Logistic,3,5,0.06171482801437378,49,0.5,0.5515107463817207,0.4897959183673469,0.6
emotions,BR_Logistic,3,6,0.0470555912364613,44,0.6,0.6574898633089933,0.7045454545454546,0.7
emotions,BR_Logistic,3,7,0.01010920166969298,50,0.7,0.749890798330307,0.76,0.8
emotions,BR_Logistic,3,8,0.1526616785837257,23,0.8,0.8483138524967692,0.6956521739130435,0.9
emotions,BR_Logistic,3,9,0.0003445558249950409,16,0.9,0.937155444175005,0.9375,1.0
emotions,BR_Logistic,4,0,0.011846265172477749,168,0.0,0.04160816993438251,0.02976190476190476,0.1
emotions,BR_Logistic,4,1,0.07087954380352733,142,0.1,0.1483443325359217,0.07746478873239436,0.2
emotions,BR_Logistic,4,2,0.06302539216375899,87,0.2,0.24693343814077048,0.1839080459770115,0.3
emotions,BR_Logistic,4,3,0.029439308171002376,106,0.3,0.3479191823950354,0.37735849056603776,0.4
emotions,BR_Logistic,4,4,0.11823321232255896,53,0.4,0.44780452352649763,0.5660377358490566,0.5
emotions,BR_Logistic,4,5,0.10651349640907115,47,0.5,0.5530609716760352,0.6595744680851063,0.6
emotions,BR_Logistic,4,6,0.048338284095128414,48,0.6,0.6391617159048716,0.6875,0.7
emotions,BR_Logistic,4,7,0.0470744774622075,34,0.7,0.747043169596616,0.7941176470588235,0.8
emotions,BR_Logistic,4,8,0.06503468480977137,22,0.8,0.8440562242811377,0.9090909090909091,0.9
emotions,BR_Logistic,4,9,0.15496850930727446,13,0.9,0.9241992785380437,0.7692307692307693,1.0
emotions,BR_Logistic,5,0,0.010022740895261187,175,0.0,0.044308455180975474,0.03428571428571429,0.1
emotions,BR_Logistic,5,1,0.019928453206005753,118,0.1,0.14704709727380236,0.1271186440677966,0.2
emotions,BR_Logistic,5,2,0.045275092124938965,91,0.2,0.25142820457835774,0.2967032967032967,0.3
emotions,BR_Logistic,5,3,0.17127902912242077,56,0.3,0.34657811373472214,0.5178571428571429,0.4
emotions,BR_Logistic,5,4,0.029065205339799893,57,0.4,0.45011783691874724,0.42105263157894735,0.5
emotions,BR_Logistic,5,5,0.11711939601671129,42,0.5,0.5495472706499553,0.6666666666666666,0.6
emotions,BR_Logistic,5,6,0.0901001432003119,39,0.6,0.6534896003894317,0.7435897435897436,0.7
emotions,BR_Logistic,5,7,0.18532555699348452,30,0.7,0.7480077763398488,0.9333333333333333,0.8
emotions,BR_Logistic,5,8,0.07621233117195869,31,0.8,0.8504058795590554,0.7741935483870968,0.9
emotions,BR_Logistic,5,9,0.018616235256195046,15,0.9,0.9519495685895284,0.9333333333333333,1.0
emotions,BR_MLP,1,0,,0,0.0,,,0.1
emotions,BR_MLP,1,1,,0,0.1,,,0.2
emotions,BR_MLP,1,2,0.2751525491476059,7,0.2,0.2751525491476059,0.0,0.3
emotions,BR_MLP,1,3,0.3179052880122548,84,0.3,0.36552433563130243,0.047619047619047616,0.4
emotions,BR_MLP,1,4,0.32087093498557806,288,0.4,0.45628760165224475,0.13541666666666666,0.5
emotions,BR_MLP,1,5,0.08990769419990241,283,0.5,0.5422045139878883,0.45229681978798586,0.6
emotions,BR_MLP,1,6,0.062305980258517746,63,0.6,0.6361067181541806,0.6984126984126984,0.7
emotions,BR_MLP,1,7,0.285929004351298,6,0.7,0.714070995648702,1.0,0.8
emotions,BR_MLP,1,8,0.16244840621948242,1,0.8,0.8375515937805176,1.0,0.9
emotions,BR_MLP,1,9,,0,0.9,,,1.0
emotions,BR_MLP,2,0,,0,0.0,,,0.1
emotions,BR_MLP,2,1,,0,0.1,,,0.2
emotions,BR_MLP,2,2,0.2877672697816576,7,0.2,0.2877672697816576,0.0,0.3
emotions,BR_MLP,2,3,0.34244895706305634,74,0.3,0.36947598409008336,0.02702702702702703,0.4
emotions,BR_MLP,2,4,0.31548606147989633,320,0.4,0.45611106147989633,0.140625,0.5
emotions,BR_MLP,2,5,0.0669276625502343,255,0.5,0.5414374664718029,0.4745098039215686,0.6
emotions,BR_MLP,2,6,0.252706194823643,53,0.6,0.6340862580065457,0.8867924528301887,0.7
emotions,BR_MLP,2,7,0.2869867324829102,5,0.7,0.7130132675170898,1.0,0.8
emotions,BR_MLP,2,8,,0,0.8,,,0.9
emotions,BR_MLP,2,9,,0,0.9,,,1.0
emotions,BR_MLP,3,0,,0,0.0,,,0.1
emotions,BR_MLP,3,1,,0,0.1,,,0.2
emotions,BR_MLP,3,2,0.26718940734863283,5,0.2,0.26718940734863283,0.0,0.3
emotions,BR_MLP,3,3,0.3549538943916559,96,0.3,0.3653705610583226,0.010416666666666666,0.4
emotions,BR_MLP,3,4,0.3120659439318433,311,0.4,0.4535450436102999,0.1414790996784566,0.5
emotions,BR_MLP,3,5,0.08126706347173573,245,0.5,0.5424915532676541,0.46122448979591835,0.6
emotions,BR_MLP,3,6,0.10831337097363591,78,0.6,0.6352763726161077,0.7435897435897436,0.7
emotions,BR_MLP,3,7,0.2761308948198954,3,0.7,0.7238691051801046,1.0,0.8
emotions,BR_MLP,3,8,,0,0.8,,,0.9
emotions,BR_MLP,3,9,,0,0.9,,,1.0
emotions,BR_MLP,4,0,,0,0.0,,,0.1
emotions,BR_MLP,4,1,,0,0.1,,,0.2
