Dataset,Model,Cost,Fold,Label Index,Label Name,Coverage,Full F1,Full Hamming Accuracy,Full Precision,Full Recall,Negative Support,Positive Support,Prevalence,Rejected Error Count,Rejected Position Count,Selective F1,Selective Precision,Selective Recall
emotions,BR_Logistic,,1,0,amazed-suprised,1.0,0.5490196078431373,0.8114754098360656,0.8235294117647058,0.4117647058823529,88,34,0.2786885245901639,0,0,0.5490196078431373,0.8235294117647058,0.4117647058823529
emotions,BR_Logistic,,1,1,happy-pleased,1.0,0.19047619047619047,0.7213114754098361,0.4444444444444444,0.12121212121212122,89,33,0.27049180327868855,0,0,0.19047619047619047,0.4444444444444444,0.12121212121212122
emotions,BR_Logistic,,1,2,relaxing-calm,1.0,0.7102803738317757,0.7459016393442623,0.7037037037037037,0.7169811320754716,69,53,0.4344262295081967,0,0,0.7102803738317757,0.7037037037037037,0.7169811320754716
emotions,BR_Logistic,,1,3,quiet-still,1.0,0.7857142857142857,0.9016393442622951,0.8461538461538461,0.7333333333333333,92,30,0.2459016393442623,0,0,0.7857142857142857,0.8461538461538461,0.7333333333333333
emotions,BR_Logistic,,1,4,sad-lonely,1.0,0.6779661016949152,0.8442622950819673,0.8,0.5882352941176471,88,34,0.2786885245901639,0,0,0.6779661016949152,0.8,0.5882352941176471
emotions,BR_Logistic,,1,5,angry-aggresive,1.0,0.7532467532467533,0.8442622950819673,0.7435897435897436,0.7631578947368421,84,38,0.3114754098360656,0,0,0.7532467532467533,0.7435897435897436,0.7631578947368421
emotions,BR_Logistic,,2,0,amazed-suprised,1.0,0.6031746031746031,0.7899159663865546,0.6785714285714286,0.5428571428571428,84,35,0.29411764705882354,0,0,0.6031746031746031,0.6785714285714286,0.5428571428571428
emotions,BR_Logistic,,2,1,happy-pleased,1.0,0.19047619047619047,0.7142857142857143,0.4444444444444444,0.12121212121212122,86,33,0.2773109243697479,0,0,0.19047619047619047,0.4444444444444444,0.12121212121212122
emotions,BR_Logistic,,2,2,relaxing-calm,1.0,0.62,0.680672268907563,0.6458333333333334,0.5961538461538461,67,52,0.4369747899159664,0,0,0.62,0.6458333333333334,0.5961538461538461
emotions,BR_Logistic,,2,3,quiet-still,1.0,0.8846153846153846,0.9495798319327731,1.0,0.7931034482758621,90,29,0.24369747899159663,0,0,0.8846153846153846,1.0,0.7931034482758621
emotions,BR_Logistic,,2,4,sad-lonely,1.0,0.5769230769230769,0.8151260504201681,0.7894736842105263,0.45454545454545453,86,33,0.2773109243697479,0,0,0.5769230769230769,0.7894736842105263,0.45454545454545453
emotions,BR_Logistic,,2,5,angry-aggresive,1.0,0.6666666666666666,0.8319327731092437,0.9090909090909091,0.5263157894736842,81,38,0.31932773109243695,0,0,0.6666666666666666,0.9090909090909091,0.5263157894736842
emotions,BR_Logistic,,3,0,amazed-suprised,1.0,0.6129032258064516,0.8048780487804879,0.6785714285714286,0.5588235294117647,89,34,0.2764227642276423,0,0,0.6129032258064516,0.6785714285714286,0.5588235294117647
emotions,BR_Logistic,,3,1,happy-pleased,1.0,0.09302325581395349,0.6829268292682927,0.2,0.06060606060606061,90,33,0.2682926829268293,0,0,0.09302325581395349,0.2,0.06060606060606061
emotions,BR_Logistic,,3,2,relaxing-calm,1.0,0.7407407407407407,0.7723577235772358,0.7272727272727273,0.7547169811320755,70,53,0.43089430894308944,0,0,0.7407407407407407,0.7272727272727273,0.7547169811320755
emotions,BR_Logistic,,3,3,quiet-still,1.0,0.7037037037037037,0.8699186991869918,0.76,0.6551724137931034,94,29,0.23577235772357724,0,0,0.7037037037037037,0.76,0.6551724137931034
emotions,BR_Logistic,,3,4,sad-lonely,1.0,0.6037735849056604,0.8292682926829268,0.8,0.48484848484848486,90,33,0.2682926829268293,0,0,0.6037735849056604,0.8,0.48484848484848486
