Dataset,Model,Cost,Fold,Group,DL Coverage,DL Full Instance Jaccard,DL Full Macro Precision,DL Full Macro Recall,DL Full Macro-F1,DL Label Count,IL Coverage,IL Full Instance Jaccard,IL Full Macro Precision,IL Full Macro Recall,IL Full Macro-F1,IL Label Count
emotions,GSI_MLC_PA_Logistic,,1,IL,,,,,,,1.0,0.7540983606557377,0.7948717948717949,0.7482456140350877,0.7694805194805194,2
emotions,GSI_MLC_PA_Logistic,,1,DL,1.0,0.48633879781420764,0.7499816849816849,0.45769010863350484,0.539176289811883,4,,,,,,
emotions,GSI_MLC_PA_Logistic,,2,IL,,,,,,,1.0,0.5672268907563025,0.8516414141414143,0.6385243613011308,0.7237606837606837,3
emotions,GSI_MLC_PA_Logistic,,2,DL,1.0,0.49159663865546216,0.7063492063492064,0.3841269841269841,0.4749860197014668,3,,,,,,
emotions,GSI_MLC_PA_Logistic,,3,IL,,,,,,,1.0,0.6924119241192411,0.7624242424242423,0.631579293257888,0.6827393431167016,3
emotions,GSI_MLC_PA_Logistic,,3,DL,1.0,0.562330623306233,0.6136521136521137,0.42298983475454066,0.4674982674982675,3,,,,,,
emotions,GSI_MLC_PA_Logistic,,4,IL,,,,,,,1.0,0.5402777777777777,0.7306905370843989,0.588546838795101,0.6486795797941308,3
emotions,GSI_MLC_PA_Logistic,,4,DL,1.0,0.5416666666666666,0.7511200716845877,0.45108225108225114,0.5274678177281841,3,,,,,,
emotions,GSI_MLC_PA_Logistic,,5,IL,,,,,,,1.0,0.6467889908256881,0.771551724137931,0.5673374613003096,0.6536284096757592,2
emotions,GSI_MLC_PA_Logistic,,5,DL,1.0,0.5,0.7415377176015474,0.4800406955234924,0.5529922027290448,4,,,,,,
emotions,GSI_MLC_PA_Logistic,0.20,1,IL,,,,,,,0.5942622950819673,0.7540983606557377,0.7948717948717949,0.7482456140350877,0.7694805194805194,2
emotions,GSI_MLC_PA_Logistic,0.20,1,DL,0.5512295081967213,0.48633879781420764,0.7499816849816849,0.45769010863350484,0.539176289811883,4,,,,,,
emotions,GSI_MLC_PA_Logistic,0.20,2,IL,,,,,,,0.49299719887955185,0.5672268907563025,0.8516414141414143,0.6385243613011308,0.7237606837606837,3
emotions,GSI_MLC_PA_Logistic,0.20,2,DL,0.5546218487394958,0.49159663865546216,0.7063492063492064,0.3841269841269841,0.4749860197014668,3,,,,,,
emotions,GSI_MLC_PA_Logistic,0.20,3,IL,,,,,,,0.4905149051490515,0.6924119241192411,0.7624242424242423,0.631579293257888,0.6827393431167016,3
emotions,GSI_MLC_PA_Logistic,0.20,3,DL,0.5718157181571816,0.562330623306233,0.6136521136521137,0.42298983475454066,0.4674982674982675,3,,,,,,
emotions,GSI_MLC_PA_Logistic,0.20,4,IL,,,,,,,0.45,0.5402777777777777,0.7306905370843989,0.588546838795101,0.6486795797941308,3
emotions,GSI_MLC_PA_Logistic,0.20,4,DL,0.6388888888888888,0.5416666666666666,0.7511200716845877,0.45108225108225114,0.5274678177281841,3,,,,,,
emotions,GSI_MLC_PA_Logistic,0.20,5,IL,,,,,,,0.5458715596330275,0.6467889908256881,0.771551724137931,0.5673374613003096,0.6536284096757592,2
emotions,GSI_MLC_PA_Logistic,0.20,5,DL,0.6077981651376146,0.5,0.7415377176015474,0.4800406955234924,0.5529922027290448,4,,,,,,
emotions,GSI_MLC_PA_Logistic,0.25,1,IL,,,,,,,0.6639344262295082,0.7540983606557377,0.7948717948717949,0.7482456140350877,0.7694805194805194,2
emotions,GSI_MLC_PA_Logistic,0.25,1,DL,0.6557377049180327,0.48633879781420764,0.7499816849816849,0.45769010863350484,0.539176289811883,4,,,,,,
emotions,GSI_MLC_PA_Logistic,0.25,2,IL,,,,,,,0.5966386554621849,0.5672268907563025,0.8516414141414143,0.6385243613011308,0.7237606837606837,3
emotions,GSI_MLC_PA_Logistic,0.25,2,DL,0.6442577030812325,0.49159663865546216,0.7063492063492064,0.3841269841269841,0.4749860197014668,3,,,,,,
emotions,GSI_MLC_PA_Logistic,0.25,3,IL,,,,,,,0.5772357723577236,0.6924119241192411,0.7624242424242423,0.631579293257888,0.6827393431167016,3
emotions,GSI_MLC_PA_Logistic,0.25,3,DL,0.6720867208672087,0.562330623306233,0.6136521136521137,0.42298983475454066,0.4674982674982675,3,,,,,,
