Dataset,Model,Fold,Hamming Accuracy,Hamming Loss,Instance Jaccard,Instance-F1,Macro Precision,Macro Recall,Macro-F1,Micro-F1,Subset Accuracy
emotions,MLC_PA_MLP,1,0.7841530054644809,0.21584699453551912,0.4542349726775957,0.5218579234972678,0.6675774306209088,0.5122021370312742,0.5671195173708237,0.5969387755102041,0.23770491803278687
emotions,MLC_PA_MLP,2,0.7899159663865546,0.21008403361344538,0.4355742296918767,0.5042016806722689,0.7199987377112479,0.5285929638016752,0.6071122527958552,0.609375,0.2184873949579832
emotions,MLC_PA_MLP,3,0.8048780487804879,0.1951219512195122,0.49457994579945797,0.5756097560975609,0.6685986425021513,0.5927447432193117,0.6081808807748529,0.6504854368932039,0.25203252032520324
emotions,MLC_PA_MLP,4,0.7986111111111112,0.2013888888888889,0.45972222222222225,0.5397222222222222,0.7482695767632247,0.5244533195903018,0.5983474177263791,0.6233766233766234,0.21666666666666667
emotions,MLC_PA_MLP,5,0.7935779816513762,0.20642201834862386,0.49311926605504586,0.5752293577981651,0.7632586688602828,0.5579640462606758,0.6316610154755695,0.6529562982005142,0.22935779816513763
emotions,GSI_MLC_PA_MLP,1,0.7882513661202186,0.21174863387978143,0.44057377049180324,0.5049180327868852,0.673642120647863,0.5122021370312742,0.5702353214213689,0.6015424164524421,0.22950819672131148
emotions,GSI_MLC_PA_MLP,2,0.7899159663865546,0.21008403361344538,0.4355742296918767,0.5042016806722689,0.7199987377112479,0.5285929638016752,0.6071122527958552,0.609375,0.2184873949579832
emotions,GSI_MLC_PA_MLP,3,0.8048780487804879,0.1951219512195122,0.49457994579945797,0.5756097560975609,0.6685986425021513,0.5927447432193117,0.6081808807748529,0.6504854368932039,0.25203252032520324
emotions,GSI_MLC_PA_MLP,4,0.7986111111111112,0.2013888888888889,0.45972222222222225,0.5397222222222222,0.7482695767632247,0.5244533195903018,0.5983474177263791,0.6233766233766234,0.21666666666666667
emotions,GSI_MLC_PA_MLP,5,0.7935779816513762,0.20642201834862386,0.49311926605504586,0.5752293577981651,0.7632586688602828,0.5579640462606758,0.6316610154755695,0.6529562982005142,0.22935779816513763
music,MLC_PA_MLP,1,0.7997198879551821,0.20028011204481794,0.4719887955182073,0.5492997198879551,0.7407535433101735,0.5255690846005903,0.5993164136570494,0.6266318537859008,0.23529411764705882
music,MLC_PA_MLP,2,0.7649572649572649,0.23504273504273504,0.42948717948717946,0.49544159544159544,0.629120865660684,0.49702519086536845,0.5433968197012619,0.5758354755784062,0.23076923076923078
music,MLC_PA_MLP,3,0.7909604519774012,0.20903954802259886,0.490819209039548,0.5649717514124294,0.7040431193657,0.5579764878176,0.6137898585146785,0.6318407960199005,0.2711864406779661
music,MLC_PA_MLP,4,0.7969187675070029,0.2030812324929972,0.5056022408963585,0.5806722689075631,0.7213469497498536,0.5746155057590627,0.621728731594413,0.6419753086419753,0.2773109243697479
music,MLC_PA_MLP,5,0.8053221288515406,0.19467787114845939,0.49509803921568624,0.5837535014005603,0.7276950174008997,0.5810110941689889,0.6376497403317797,0.6533665835411472,0.21008403361344538
music,GSI_MLC_PA_MLP,1,0.7969187675070029,0.2030812324929972,0.4635854341736695,0.5408963585434174,0.7324202099768402,0.5206671238162764,0.5931435741508765,0.6214099216710183,0.226890756302521
music,GSI_MLC_PA_MLP,2,0.7521367521367521,0.24786324786324787,0.3974358974358974,0.45270655270655275,0.6114017490285238,0.48006311729952134,0.5265936719089576,0.5492227979274611,0.23076923076923078
music,GSI_MLC_PA_MLP,3,0.7909604519774012,0.20903954802259886,0.490819209039548,0.5649717514124294,0.7040431193657,0.5579764878176,0.6137898585146785,0.6318407960199005,0.2711864406779661
music,GSI_MLC_PA_MLP,4,0.7997198879551821,0.20028011204481794,0.5161064425770308,0.5901960784313726,0.7132051872977462,0.5940832928739086,0.634231494635969,0.6520681265206812,0.2857142857142857
music,GSI_MLC_PA_MLP,5,0.8025210084033614,0.19747899159663865,0.4782913165266106,0.5602240896358543,0.726922587216705,0.5713957095536043,0.6325382864407233,0.6448362720403022,0.2184873949579832
scene,MLC_PA_MLP,1,0.9001391788448156,0.09986082115518441,0.5904662491301321,0.6071677105080029,0.7957731483904511,0.6133070517614396,0.6871304257486567,0.6835722160970231,0.5407098121085595
