Dataset,Model,Fold,Bin,Absolute Gap,Count,Lower Bound,Mean Predicted Probability,Observed Positive Rate,Upper Bound
emotions,GSI_MLC_PA_MLP,1,6,0.10469692945480347,32,0.6,0.6453030705451965,0.75,0.7
emotions,GSI_MLC_PA_MLP,1,7,0.001877262311823169,34,0.7,0.737171379958882,0.7352941176470589,0.8
emotions,GSI_MLC_PA_MLP,1,8,0.14631727555902996,41,0.8,0.8536343487297616,0.7073170731707317,0.9
emotions,GSI_MLC_PA_MLP,1,9,0.008149818579355816,15,0.9,0.9414831519126892,0.9333333333333333,1.0
emotions,GSI_MLC_PA_MLP,2,0,0.021252778958689215,163,0.0,0.051927625584456086,0.03067484662576687,0.1
emotions,GSI_MLC_PA_MLP,2,1,0.019820148512821073,149,0.1,0.14733692703631102,0.12751677852348994,0.2
emotions,GSI_MLC_PA_MLP,2,2,0.035598873375700085,104,0.2,0.24713733491416162,0.21153846153846154,0.3
emotions,GSI_MLC_PA_MLP,2,3,0.028236684729071204,85,0.3,0.3482339035062229,0.3764705882352941,0.4
emotions,GSI_MLC_PA_MLP,2,4,0.06238900094616173,49,0.4,0.44781508068649134,0.5102040816326531,0.5
emotions,GSI_MLC_PA_MLP,2,5,0.04670549025301074,61,0.5,0.5434584441732188,0.5901639344262295,0.6
emotions,GSI_MLC_PA_MLP,2,6,0.040771426426039814,36,0.6,0.6536730180184046,0.6944444444444444,0.7
emotions,GSI_MLC_PA_MLP,2,7,0.011744856834411621,29,0.7,0.7468758328207608,0.7586206896551724,0.8
emotions,GSI_MLC_PA_MLP,2,8,3.5961469014522685e-05,27,0.8,0.8518878133208664,0.8518518518518519,0.9
emotions,GSI_MLC_PA_MLP,2,9,0.0598928549072959,11,0.9,0.9401071450927041,1.0,1.0
emotions,GSI_MLC_PA_MLP,3,0,0.018289738702112108,186,0.0,0.045171459132219635,0.026881720430107527,0.1
emotions,GSI_MLC_PA_MLP,3,1,0.0029172669164836407,144,0.1,0.14875060024981698,0.14583333333333334,0.2
emotions,GSI_MLC_PA_MLP,3,2,0.05137883057104092,107,0.2,0.24764051281403157,0.19626168224299065,0.3
emotions,GSI_MLC_PA_MLP,3,3,0.08221190273761747,60,0.3,0.34887856940428413,0.26666666666666666,0.4
emotions,GSI_MLC_PA_MLP,3,4,0.0150807686150074,48,0.4,0.4432525647183259,0.4583333333333333,0.5
emotions,GSI_MLC_PA_MLP,3,5,0.07977725413380843,49,0.5,0.5528758070906814,0.6326530612244898,0.6
emotions,GSI_MLC_PA_MLP,3,6,0.012159241282421629,46,0.6,0.6400146717610566,0.6521739130434783,0.7
emotions,GSI_MLC_PA_MLP,3,7,0.02092975232659322,41,0.7,0.7526370693997639,0.7317073170731707,0.8
emotions,GSI_MLC_PA_MLP,3,8,0.16859756410121918,40,0.8,0.8435975641012192,0.675,0.9
emotions,GSI_MLC_PA_MLP,3,9,0.005916409632738873,17,0.9,0.9352600609554964,0.9411764705882353,1.0
emotions,GSI_MLC_PA_MLP,4,0,0.0135274855626299,158,0.0,0.045173055182883066,0.03164556962025317,0.1
emotions,GSI_MLC_PA_MLP,4,1,0.06851251009437773,144,0.1,0.14490139898326662,0.0763888888888889,0.2
emotions,GSI_MLC_PA_MLP,4,2,0.01288261167381119,115,0.2,0.24766522036946337,0.23478260869565218,0.3
emotions,GSI_MLC_PA_MLP,4,3,0.021757659030287202,73,0.3,0.3481053546683429,0.3698630136986301,0.4
emotions,GSI_MLC_PA_MLP,4,4,0.04152748164008646,68,0.4,0.44376663600697236,0.4852941176470588,0.5
emotions,GSI_MLC_PA_MLP,4,5,0.07526664204067657,45,0.5,0.5469555801815457,0.6222222222222222,0.6
emotions,GSI_MLC_PA_MLP,4,6,0.12555576086044318,50,0.6,0.6544442391395568,0.78,0.7
emotions,GSI_MLC_PA_MLP,4,7,0.023517574582781142,35,0.7,0.7479109968457903,0.7714285714285715,0.8
emotions,GSI_MLC_PA_MLP,4,8,0.06442445516586304,24,0.8,0.8560911218325297,0.7916666666666666,0.9
